label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.1216,-0.0624,1.0385,17.9443,-13.5498,-1.7700
unlabeled,0.1522,-0.1555,1.0713,12.6953,-15.4419,-0.5493
unlabeled,0.1807,-0.2277,1.1134,11.2305,-17.8833,4.9438
unlabeled,0.2616,-0.4313,1.1781,13.4888,-20.8740,4.4556
unlabeled,0.3768,-0.5682,1.1812,17.8833,-31.3721,-9.1553
unlabeled,0.3929,-0.6077,1.1023,16.8457,-44.6777,-22.6440
unlabeled,0.2936,-0.6326,0.8800,9.8877,-50.2319,-26.1230
unlabeled,0.2152,-0.5984,0.7771,-16.2354,-51.3916,-31.2500
unlabeled,0.0178,-0.3766,0.6830,-34.9121,-47.6074,-33.2031
unlabeled,-0.2203,0.0660,0.6389,-70.0073,-40.8325,-31.6162
unlabeled,-0.3566,0.3439,0.5968,-92.7734,-38.6963,-29.1748
unlabeled,-0.7013,1.0366,0.4249,-95.6421,-38.1470,-34.4238
unlabeled,-0.9069,1.5029,0.3077,-88.1348,-36.7432,-70.0684
unlabeled,-1.3730,2.6576,0.2375,-79.6509,-36.4380,-94.5434
unlabeled,-1.4598,3.6691,0.1378,-40.2832,-39.5508,-125.1831
unlabeled,-1.2781,3.9728,0.0055,-18.4937,-38.4521,-106.0181
unlabeled,-0.4863,4.0000,-0.1154,-2.7466,-23.7427,-68.5425
unlabeled,0.0360,3.8876,-0.0779,93.5669,40.1611,57.8003
unlabeled,1.0740,2.5685,0.1880,145.5688,75.8057,139.2822
unlabeled,1.9293,0.2500,0.9780,244.6289,106.9946,202.4536
unlabeled,2.3596,-0.7271,1.3569,276.7944,96.5576,236.9385
unlabeled,2.8292,-3.3148,1.5386,238.6474,29.5410,363.3423
unlabeled,2.7914,-3.9999,1.5969,71.9604,4.2725,398.0713
unlabeled,2.3607,-3.9999,1.7367,11.1694,13.4888,325.5615
unlabeled,2.1316,-3.9777,1.5934,-53.1616,23.4985,67.7490
unlabeled,1.6104,-3.9138,1.2838,-95.6421,25.0244,-104.2480
unlabeled,1.4366,-3.1810,1.1554,-119.0796,-71.3501,-196.7773
unlabeled,1.2629,-2.7760,0.7036,-47.3022,-77.3926,-165.2222
unlabeled,1.1133,-1.7579,0.5972,-34.9121,-29.2969,-206.9702
unlabeled,1.0781,-1.0192,0.7902,-73.0591,10.0708,-316.2842
unlabeled,0.9045,0.2600,0.7686,-93.5059,1.1597,-338.4399
unlabeled,0.7560,1.1262,0.6019,-96.9849,-0.5493,-333.1909
unlabeled,0.7537,1.6974,0.5752,-110.5347,3.2349,-266.2964
unlabeled,0.6318,2.9720,0.4532,-136.3525,-1.7090,-187.1948
unlabeled,0.4054,3.3662,0.4430,-158.4473,8.6060,-18.9209
unlabeled,-0.2089,3.6353,0.4553,-143.1885,19.2261,31.9824
unlabeled,-0.5118,3.6571,0.4224,-90.7593,17.9443,91.5527
unlabeled,-0.9237,3.3907,0.2041,-44.4946,17.2119,119.0796
unlabeled,-1.0221,2.9111,0.1808,27.6489,1.2207,116.8823
unlabeled,-1.0197,1.9794,0.2479,27.0996,-20.0195,75.9277
unlabeled,-0.9596,1.9501,0.2032,4.6997,-51.6357,0.6104
unlabeled,-0.7639,2.2465,0.0233,10.9253,-51.1475,-11.4136
unlabeled,-0.3998,2.1758,-0.0814,60.3027,-16.4185,10.6201
unlabeled,-0.1515,2.0239,-0.0541,120.3003,39.6729,49.7436
unlabeled,0.3510,1.5874,0.1556,149.7192,64.0259,68.7256
unlabeled,0.6096,1.3378,0.3689,196.8994,95.6421,123.0469
unlabeled,1.1907,0.2314,0.8971,201.1108,100.7080,151.4893
unlabeled,1.3943,-0.5651,1.0659,253.7231,67.1997,154.4189
unlabeled,1.7732,-2.1304,1.0011,262.9395,53.5889,178.8330
unlabeled,2.0242,-3.7285,1.2939,153.8696,43.9453,268.4937
unlabeled,1.9541,-3.9999,1.3472,5.0049,4.6387,262.5732
unlabeled,1.6222,-3.9764,1.2738,-36.3159,-6.9580,209.6557
unlabeled,1.4296,-3.9381,1.2257,-106.6894,-1.2817,15.3809
unlabeled,1.1584,-3.0404,1.4412,-127.8686,-26.3672,-87.6465
unlabeled,0.8740,-1.5146,0.8878,-93.2617,-91.1865,-156.3110
unlabeled,0.7294,-1.1422,0.6134,-6.2256,-45.8984,-166.5649
unlabeled,0.5651,-0.5382,0.6350,0.3052,-21.1182,-186.4624
unlabeled,0.5013,-0.1875,0.7039,-23.4985,-5.6763,-223.2056
unlabeled,0.3794,0.4412,0.6923,-36.9263,-5.9814,-228.0273
unlabeled,0.3091,1.0908,0.6990,-64.6973,-2.1973,-212.0972
unlabeled,0.3064,1.4744,0.7770,-101.1352,-2.7466,-151.3672
unlabeled,0.2195,1.9954,0.8064,-122.1313,-11.5967,-97.3511
unlabeled,0.1074,2.0753,0.7603,-144.2871,-26.8555,-2.0752
unlabeled,-0.2034,2.1598,0.6594,-136.8408,-29.4800,13.7939
unlabeled,-0.3856,2.2339,0.5840,-100.4028,-37.0483,-7.3853
