label,aX,aY,aZ,gX,gY,gZ
unlabeled,-0.0293,0.2225,0.9751,0.0000,0.6104,-0.2441
unlabeled,-0.0317,0.2576,0.9474,0.0000,-0.2441,-1.3428
unlabeled,-0.0342,0.2764,0.9406,3.6011,1.6479,-0.4883
unlabeled,-0.0355,0.2681,0.9531,5.7983,3.4180,1.2207
unlabeled,-0.0339,0.2446,0.9656,4.6997,5.2490,3.9673
unlabeled,-0.0311,0.2146,0.9886,1.1597,5.3101,3.9673
unlabeled,-0.0277,0.2109,1.0017,-3.4790,2.8687,2.3804
unlabeled,-0.0243,0.2081,0.9946,-2.5635,-0.3052,0.7324
unlabeled,-0.0236,0.2180,0.9733,-1.1597,-4.5166,-2.1362
unlabeled,-0.0209,0.2568,0.9380,-1.1597,-4.0894,-2.3804
unlabeled,-0.0210,0.2648,0.9293,-0.1221,-0.8545,-0.7324
unlabeled,-0.0175,0.2437,0.9315,0.3662,0.5493,0.0000
unlabeled,-0.0137,0.2421,0.9368,-0.6104,1.7090,-0.6714
unlabeled,-0.0095,0.2797,0.9441,-0.7324,1.9531,-1.3428
unlabeled,-0.0197,0.3245,0.9341,0.5493,2.9907,-1.2207
unlabeled,-0.0236,0.3442,0.9222,7.4463,3.6011,0.9155
unlabeled,-0.0269,0.3527,0.8809,11.3525,3.9673,3.1128
unlabeled,-0.0281,0.3351,0.8573,15.8691,6.4697,8.7891
unlabeled,-0.0306,0.2992,0.8490,16.2964,9.0942,10.8643
unlabeled,-0.0280,0.2819,0.8892,17.0898,16.0522,13.8550
unlabeled,-0.0193,0.2159,1.0426,18.1274,18.5547,14.7095
unlabeled,-0.0239,0.1536,1.1622,20.5688,19.7144,15.0757
unlabeled,-0.0569,-0.0226,1.4800,19.7144,17.4561,14.7095
unlabeled,-0.0691,-0.1134,1.6437,14.8926,2.0142,12.0850
unlabeled,-0.0829,-0.2076,1.8488,7.9956,-10.5591,8.1787
unlabeled,-0.0919,-0.2036,1.8785,-18.7988,-33.0200,0.4883
unlabeled,-0.0814,-0.2281,1.8552,-33.8745,-41.4429,-2.3193
unlabeled,-0.0640,-0.2292,1.8018,-71.4111,-57.5561,-10.4980
unlabeled,-0.0099,-0.1183,1.6238,-91.6748,-63.0493,-13.7939
unlabeled,0.0377,0.0931,1.4292,-136.9629,-64.3311,-17.3950
unlabeled,0.0525,0.1783,1.3423,-193.4204,-60.1196,-14.4043
unlabeled,0.0482,0.2532,1.1600,-216.0644,-60.3027,-10.8643
unlabeled,0.0420,0.2917,1.0519,-220.2148,-65.6128,-3.9062
unlabeled,0.0315,0.3915,0.8387,-208.7402,-69.1528,-0.3052
unlabeled,0.0172,0.4321,0.7281,-186.4624,-77.2705,5.7983
unlabeled,-0.0374,0.4883,0.5249,-173.3398,-82.8247,4.8828
unlabeled,-0.0720,0.5066,0.4243,-145.3857,-92.4072,1.8921
