label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.1422,0.0354,1.1486,-18.4326,-0.0610,-14.5264
unlabeled,0.1307,0.0850,1.1492,-10.6201,-13.1226,-20.3857
unlabeled,0.0956,0.1478,1.0654,-8.3008,-18.3105,-19.9585
unlabeled,0.0752,0.1383,1.0111,-7.6904,-21.0571,-10.3149
unlabeled,0.0448,0.0701,0.9783,-10.5591,-19.5923,-4.3335
unlabeled,0.0397,0.0668,1.0000,-21.6064,-17.3340,-0.4883
unlabeled,0.0454,0.0728,1.0327,-26.0620,-18.3716,-1.7090
unlabeled,0.0593,0.0422,1.0421,-22.6440,-20.9961,-0.6104
unlabeled,0.0450,0.0220,1.0009,-19.4092,-30.3345,-0.7324
unlabeled,-0.0265,0.0013,0.8687,-21.4233,-34.7290,-2.0142
unlabeled,-0.1390,0.1210,0.7189,-36.4990,-39.3066,-4.0894
unlabeled,-0.2014,0.2017,0.6510,-53.0395,-38.0249,-3.3569
unlabeled,-0.3523,0.3981,0.5941,-55.9692,-33.6304,-5.3101
unlabeled,-0.5470,0.8560,0.5741,-45.7153,-20.3247,-25.5737
unlabeled,-0.6771,1.1808,0.5753,-36.2549,-14.5264,-50.2319
unlabeled,-0.9686,1.8859,0.6224,-32.2876,-14.9536,-60.3638
unlabeled,-1.0726,2.2119,0.6019,-6.1646,-17.4561,-71.1670
unlabeled,-1.0781,2.7828,0.4209,13.8550,-17.0288,-66.4673
unlabeled,-0.6899,3.0267,0.2651,56.8848,-1.8921,-37.5977
unlabeled,-0.3502,2.9141,0.2075,118.3472,35.5225,32.3486
unlabeled,0.4225,2.2234,0.2439,147.6440,57.2510,89.3555
unlabeled,0.7426,1.5441,0.3396,172.6684,83.8623,193.5425
unlabeled,1.2163,-0.3790,0.5807,215.6982,78.8574,194.9463
unlabeled,1.5378,-1.1577,0.7024,256.7139,77.7588,218.2007
unlabeled,2.1852,-2.6543,1.3118,221.4355,78.8574,258.2397
unlabeled,2.0540,-3.9999,1.4563,100.2808,49.8047,286.2549
unlabeled,1.8334,-3.9999,1.2808,-40.3442,4.7607,161.3769
unlabeled,1.5367,-3.8182,1.1406,-107.8491,-0.4883,79.2847
unlabeled,1.4407,-3.4288,1.3485,-153.6255,-24.7192,-84.9609
unlabeled,1.2728,-2.2262,1.2406,-132.6904,-58.0444,-120.3003
unlabeled,1.0011,-1.4325,0.7396,-47.4853,-45.1050,-158.3252
unlabeled,0.8986,-1.0874,0.8352,-43.2129,-14.8315,-198.6694
unlabeled,0.7170,-0.3723,0.9564,-64.2700,-21.3013,-211.4868
unlabeled,0.6276,-0.0598,0.9117,-110.8398,-42.9077,-219.8486
unlabeled,0.4720,0.5076,0.7861,-124.8779,-46.5698,-222.7783
unlabeled,0.3855,1.2295,0.7557,-130.9814,-37.9028,-215.5151
unlabeled,0.3051,1.6230,0.7384,-127.2583,-32.4097,-146.2402
unlabeled,0.0157,2.2281,0.5734,-128.4790,-33.0811,-93.7500
unlabeled,-0.1488,2.2948,0.4762,-115.8447,-24.5972,-3.2349
unlabeled,-0.4701,2.1456,0.3325,-100.5249,-17.7002,24.9023
unlabeled,-0.8363,2.1411,0.1708,-64.7583,-9.8877,47.5464
unlabeled,-1.0038,2.1527,0.1259,-24.7803,-9.0942,44.9829
unlabeled,-1.1796,2.0399,0.2068,-10.1929,-16.7847,26.2451
unlabeled,-1.1676,2.0706,0.1940,9.8267,-34.3018,-11.9019
unlabeled,-1.0170,2.2036,-0.0133,26.2451,-30.7617,-11.6577
unlabeled,-0.7184,2.0524,-0.0975,65.5518,9.3994,19.2871
unlabeled,-0.5107,1.8989,-0.0161,87.4634,36.8652,35.6445
unlabeled,-0.0601,1.5881,0.2272,127.6245,76.5991,54.7485
unlabeled,0.1825,1.4668,0.3689,146.5454,94.7266,71.0449
unlabeled,0.8081,1.1355,0.8231,158.5693,98.9380,101.3794
unlabeled,1.1018,0.4929,1.1188,226.6235,98.2056,125.5493
unlabeled,1.5983,-1.1615,1.4348,293.5791,97.5342,125.0000
unlabeled,1.9745,-2.5708,1.3196,259.6436,43.1519,204.5288
unlabeled,2.0034,-3.2339,1.2227,169.8608,0.6104,245.8496
unlabeled,1.7134,-3.9602,1.0935,-5.4321,-37.1094,233.2153
unlabeled,1.5829,-3.7764,1.1139,-118.7744,-29.3579,144.7144
unlabeled,1.2767,-3.3273,1.2402,-156.5552,-29.1138,63.8428
unlabeled,1.1577,-2.7993,1.3033,-135.6812,-59.1431,-112.9150
unlabeled,0.9437,-1.4713,0.8341,-90.1489,-56.5186,-165.5884
unlabeled,0.7135,-0.6248,0.7167,-17.9443,-15.9302,-197.9980
unlabeled,0.6005,-0.3754,0.7781,-8.0566,5.4321,-196.8384
unlabeled,0.4159,0.0171,0.8169,-18.6157,3.1128,-199.8291
unlabeled,0.3385,0.2399,0.7588,-52.3071,-10.6201,-213.6230
unlabeled,0.2511,0.8505,0.6356,-67.8101,-11.9019,-213.3179
unlabeled,0.2456,1.6124,0.7291,-92.8345,-2.3804,-165.4663
unlabeled,0.1968,1.9197,0.7788,-123.9624,-1.7700,-64.4531
unlabeled,-0.0577,2.0864,0.7456,-125.9155,-0.6104,-20.0195
unlabeled,-0.2212,2.0934,0.7104,-104.4922,2.6245,12.5122
unlabeled,-0.5626,2.2336,0.6185,-90.2710,-1.2817,1.7700
unlabeled,-0.8198,2.4109,0.4639,-40.9546,-11.7187,-23.1934
unlabeled,-0.8824,2.4510,0.4044,10.5591,-20.3247,-23.0713
unlabeled,-0.8408,2.3386,0.3757,34.5459,-24.9634,-15.6250
unlabeled,-0.7349,2.2167,0.3430,76.9653,-22.9492,10.9253
unlabeled,-0.4379,1.9387,0.2526,92.0410,-13.6108,24.3530
unlabeled,-0.0497,1.6899,0.3389,127.1973,19.9585,51.7578
unlabeled,0.1824,1.5441,0.4777,145.2637,35.5835,66.0400
unlabeled,0.7775,1.0734,0.8137,162.5976,38.4521,121.6431
unlabeled,1.0371,0.4799,0.8599,192.1387,26.7944,156.0059
unlabeled,1.5007,-0.8276,0.8004,237.3657,29.3579,172.3633
unlabeled,1.7042,-1.6639,0.8361,220.0317,21.9727,270.8740
unlabeled,1.7948,-3.5708,0.9222,151.0010,6.0425,307.0068
unlabeled,1.6594,-3.9999,0.9604,-19.8975,-8.6060,250.0000
unlabeled,1.3790,-3.9731,1.1769,-137.3291,5.5542,98.3887
unlabeled,1.1366,-3.3459,1.5272,-162.6587,3.0518,-1.5869
unlabeled,1.0500,-2.6656,1.5143,-105.7739,-53.7109,-142.3340
unlabeled,0.8035,-1.5076,0.8149,-51.0864,-51.3916,-177.7954
unlabeled,0.7191,-1.0941,0.6899,-7.3853,-5.3101,-201.2939
unlabeled,0.6248,-0.4896,0.8092,-20.2026,3.2349,-201.0498
unlabeled,0.5261,0.0098,0.8799,-63.1714,-11.2915,-194.7021
unlabeled,0.4730,0.2427,0.8394,-89.0503,-26.4282,-186.0962
unlabeled,0.4073,0.7069,0.7344,-97.7783,-25.8179,-178.5889
unlabeled,0.3729,0.9912,0.7386,-118.1641,-18.2495,-137.7563
unlabeled,0.2646,1.5848,0.7834,-126.4648,-17.1509,-102.2949
unlabeled,0.0166,1.9066,0.6617,-133.5449,-17.2729,-33.0811
unlabeled,-0.1499,1.9961,0.5808,-124.4507,-12.1460,-1.8921
unlabeled,-0.5221,2.1560,0.4979,-108.8257,-11.4746,-4.5166
unlabeled,-0.6921,2.2990,0.4432,-56.8848,-12.5732,-21.7285
unlabeled,-0.8767,2.5549,0.3628,-26.8555,-13.1226,-23.1323
unlabeled,-0.8357,2.4580,0.3268,26.4282,-19.2871,-2.4414
unlabeled,-0.7582,2.3292,0.2823,68.2983,-15.3809,32.4097
unlabeled,-0.4885,2.0537,0.2085,88.0737,-4.3945,49.1943
unlabeled,-0.3066,1.8926,0.2244,125.1221,25.8179,82.0923
unlabeled,0.0955,1.4293,0.4308,141.4185,38.1470,97.6562
unlabeled,0.3197,1.1813,0.5768,159.9731,46.0205,127.4414
unlabeled,0.8698,0.4209,0.8936,164.3066,39.7949,154.9683
unlabeled,1.2966,-1.0259,1.0216,197.3266,32.5928,178.4668
unlabeled,1.4700,-1.7363,1.0042,214.5996,35.9497,193.7866
unlabeled,1.6627,-2.9552,1.1519,159.9121,29.3579,209.3506
unlabeled,1.6062,-3.4567,1.1868,-1.3428,-7.5073,198.6694
unlabeled,1.3303,-3.6268,1.1171,-59.8144,-17.2119,156.3721
unlabeled,1.0449,-2.9573,1.0565,-138.0615,-15.3809,49.5605
unlabeled,0.9082,-2.5325,1.0242,-140.6860,-25.6348,-88.4399
unlabeled,0.7706,-1.2875,0.9207,-114.0137,-31.9214,-121.1548
unlabeled,0.6791,-0.8877,0.8760,-43.3960,-38.0859,-128.8452
unlabeled,0.4805,-0.5488,0.7528,-20.8130,-31.3721,-137.6953
unlabeled,0.3906,-0.1412,0.7809,-18.8599,-15.7471,-169.8608
unlabeled,0.3744,0.0748,0.7924,-42.4194,-12.6953,-189.5141
unlabeled,0.3386,0.4899,0.7462,-56.5796,-10.0098,-187.8662
unlabeled,0.3184,0.7135,0.7683,-90.1489,-3.4790,-155.0293
