label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.0830,0.1681,0.9967,0.0610,-3.1128,-15.1367
unlabeled,0.0750,0.2048,0.9901,-0.1221,-3.2349,-16.2964
unlabeled,0.0692,0.2460,0.9886,-0.9155,-4.2114,-15.3198
unlabeled,0.0581,0.2773,0.9712,-1.1597,-3.6621,-13.2446
unlabeled,0.0453,0.2362,0.9535,1.4038,-2.9907,-8.8501
unlabeled,0.0431,0.2303,0.9397,4.6387,-2.1362,-9.9487
unlabeled,0.0413,0.2958,0.9390,5.0659,-0.9766,-10.0708
unlabeled,0.0482,0.3226,0.9424,2.8076,1.6479,-5.1270
unlabeled,0.0586,0.3745,0.9409,0.5493,3.0518,-1.1597
unlabeled,0.0493,0.4518,0.9476,-5.4321,7.3242,7.0190
unlabeled,0.0432,0.5316,0.9552,-9.0332,9.3384,14.6484
unlabeled,0.0325,0.6689,0.9469,-9.3994,10.4370,19.8975
unlabeled,0.0239,0.6937,0.9513,-7.8735,15.6250,30.2124
unlabeled,-0.0162,0.6693,1.0120,-3.8452,17.7612,30.8228
unlabeled,-0.0312,0.6519,1.0521,11.7187,17.3340,20.6909
unlabeled,-0.0452,0.6931,1.0997,18.7378,15.2588,15.9912
unlabeled,-0.1050,0.5651,1.2058,23.9258,14.8926,19.7754
unlabeled,-0.1105,0.4760,1.2820,19.5923,18.8599,19.2261
unlabeled,-0.0198,0.2715,1.4921,24.1089,17.4561,21.4233
unlabeled,0.0579,0.0927,1.6079,19.8364,14.2822,34.7290
unlabeled,0.1359,-0.2668,1.7649,11.4136,11.2305,37.5366
unlabeled,0.1326,-0.3882,1.7747,15.0146,-4.5776,22.4609
unlabeled,0.1437,-0.4861,1.6820,38.3301,-14.4043,-1.6479
unlabeled,0.1813,-0.6406,1.4330,54.4434,-20.2026,-8.6670
unlabeled,0.2059,-0.6681,1.2745,69.0308,-37.7197,-19.4702
unlabeled,0.2683,-0.5488,1.1711,61.9507,-39.3066,-20.9351
unlabeled,0.3212,-0.5437,1.1965,30.3345,-30.3345,-8.2397
unlabeled,0.3917,-0.6245,1.0973,13.7939,-28.5034,-3.8452
unlabeled,0.3627,-0.5149,0.9331,-7.2021,-30.3955,-15.1978
unlabeled,0.3430,-0.4288,0.8488,-11.1084,-33.7524,-34.3018
unlabeled,0.3160,-0.2990,0.7419,-5.6152,-34.3628,-41.3818
unlabeled,0.2930,-0.2333,0.6793,9.2773,-38.2080,-51.0864
unlabeled,0.2614,-0.1263,0.4982,17.6392,-32.3486,-57.5561
unlabeled,0.3246,-0.0714,0.5043,8.9722,-23.7427,-55.7861
unlabeled,0.3413,-0.1107,0.5598,-25.0244,-8.3008,-36.9263
unlabeled,0.3228,-0.1462,0.6652,-34.4238,-6.8359,-31.9214
unlabeled,0.3079,-0.0937,0.6556,-33.1421,-14.8315,-36.6821
unlabeled,0.2113,-0.0369,0.4095,-28.2593,-19.7754,-38.6963
unlabeled,0.0385,0.0741,0.2504,-26.7334,-21.6675,-43.8232
unlabeled,-0.0095,0.2070,0.2240,-42.4805,-19.9585,-50.2319
unlabeled,-0.0239,0.4541,0.0988,-50.6592,-16.4185,-47.1191
unlabeled,-0.0485,0.5006,-0.0006,-48.9502,-0.1221,-30.8228
unlabeled,-0.1217,0.6271,-0.0027,-42.2974,10.8032,-24.6582
unlabeled,-0.1460,0.8502,0.2281,-39.0625,20.8130,-15.1367
unlabeled,-0.1361,0.8613,0.2788,-39.7339,9.4604,-4.2114
unlabeled,-0.1295,0.7762,0.2473,-36.6211,3.7842,-2.4414
unlabeled,-0.1421,0.7673,0.2365,-27.4048,2.8687,-6.4087
unlabeled,-0.1741,0.8359,0.3593,-22.3389,8.9722,-10.7422
unlabeled,-0.0912,0.8977,0.5347,-3.4790,27.7100,-19.6533
unlabeled,-0.0231,0.9362,0.6284,4.6997,42.9687,-16.8457
unlabeled,0.0713,0.9033,0.8364,3.6621,48.0347,-7.0190
unlabeled,0.0818,0.8146,0.9241,-2.0142,51.2695,15.9302
unlabeled,0.0878,0.8579,1.0857,-4.8218,50.8423,24.1089
unlabeled,0.0580,0.8530,1.2432,44.9829,12.6343,13.1226
unlabeled,0.0276,0.9806,1.2692,74.0967,-19.6533,10.1318
unlabeled,0.0259,0.6746,1.1813,64.5142,3.2349,48.1567
unlabeled,0.0385,0.4491,1.3396,20.9961,35.4004,60.4858
unlabeled,0.0487,0.4741,1.5662,14.7705,28.9307,49.0112
unlabeled,0.0322,0.5885,1.6000,24.2920,12.7563,35.7056
unlabeled,0.0240,0.5131,1.7205,30.8838,10.1929,38.2690
unlabeled,0.0367,0.4071,1.7960,36.3159,5.3101,42.4194
unlabeled,0.0099,0.3375,1.8660,32.6538,-2.4414,44.3726
unlabeled,-0.0238,0.2802,1.8677,17.7002,-21.0571,46.1426
unlabeled,-0.0768,0.0533,1.7933,11.1694,-25.3906,43.7622
unlabeled,-0.1022,-0.2952,1.7413,9.8877,-22.8271,26.7334
unlabeled,-0.0978,-0.4033,1.7578,12.5122,-17.8223,2.0142
unlabeled,-0.0674,-0.4935,1.7880,12.0239,-16.9067,-7.3242
unlabeled,-0.0526,-0.5585,1.7396,11.0474,-12.1460,-17.1509
unlabeled,0.0020,-0.7125,1.6709,16.1133,-7.9956,-20.0195
unlabeled,0.0507,-0.8204,1.6674,30.3955,-25.9399,-26.0620
unlabeled,0.0762,-0.8263,1.5763,20.8130,-47.5464,-25.7568
unlabeled,0.1206,-0.8319,1.2100,9.3994,-45.8984,-21.1182
unlabeled,0.1316,-0.7791,1.0239,-10.9863,-32.7759,-16.4795
unlabeled,0.1582,-0.5312,0.8413,-15.9302,-26.9775,-17.7002
unlabeled,0.2413,-0.3367,0.9208,-12.7563,-19.3481,-20.8130
unlabeled,0.3014,-0.3767,0.9486,-10.0708,-22.1558,-16.3574
unlabeled,0.3481,-0.4657,0.8018,-8.5449,-27.7100,-15.6860
unlabeled,0.3347,-0.4072,0.7200,-0.6714,-30.4565,-25.5737
unlabeled,0.2841,-0.1606,0.5764,1.9531,-26.3672,-30.6396
unlabeled,0.2572,-0.0367,0.4889,11.2915,-9.1553,-29.1748
unlabeled,0.2533,0.0063,0.5006,22.7661,7.5073,-20.7520
unlabeled,0.2339,0.0055,0.5023,27.2217,12.3901,-15.8081
unlabeled,0.2283,-0.0319,0.4927,20.6909,19.5923,-9.1553
unlabeled,0.2050,-0.0110,0.4717,10.6201,22.5830,-8.3618
unlabeled,0.1409,0.0251,0.4606,-2.5635,30.0293,-9.0942
unlabeled,0.1115,0.0363,0.4265,-3.1128,33.0200,-15.0146
unlabeled,0.0509,0.1333,0.3291,-1.2207,33.9966,-16.9067
unlabeled,0.0265,0.1434,0.3009,0.4883,35.4004,-15.3809
unlabeled,-0.0034,0.1654,0.2321,3.2959,34.3018,-15.5029
unlabeled,-0.0168,0.1949,0.3103,4.6387,34.1797,-13.0005
unlabeled,-0.0201,0.2351,0.3735,-17.5781,33.6304,-7.2021
unlabeled,-0.0237,0.3190,0.5106,-29.1138,30.9448,-5.0049
unlabeled,-0.0195,0.3640,0.5840,-34.3018,16.7847,-5.4321
unlabeled,-0.0236,0.4254,0.6136,-32.4707,7.5684,-3.9673
unlabeled,-0.0435,0.4142,0.5225,-29.6631,-7.1411,1.2207
unlabeled,-0.0697,0.4938,0.3590,-35.7666,-7.8125,-2.3804
unlabeled,-0.0775,0.7587,0.3296,-39.6729,-3.4790,-4.9438
unlabeled,-0.0724,0.8567,0.3519,-44.4336,11.1084,-8.6670
unlabeled,-0.0585,1.0990,0.5713,-44.7388,21.4844,-10.3149
unlabeled,-0.0687,1.1931,0.7378,-34.7290,35.5835,-7.4463
unlabeled,-0.0488,1.2274,0.9213,-20.2026,34.6680,-5.9814
unlabeled,0.0695,1.1224,0.9159,5.3101,28.8696,0.7935
unlabeled,0.0999,1.0686,1.0485,5.8594,30.3955,21.6064
unlabeled,0.0718,0.9586,1.4547,22.7661,2.7466,20.8130
unlabeled,0.0348,1.0283,1.3792,53.7720,-42.8467,31.6772
unlabeled,-0.0647,0.8606,1.1919,54.9927,-18.7378,45.3491
unlabeled,-0.0780,0.6469,1.2859,63.3545,16.2354,52.0019
unlabeled,-0.0343,0.3611,1.5076,62.9272,12.5122,45.3491
unlabeled,0.0386,0.3484,1.9185,39.7339,8.3008,38.5132
unlabeled,0.0505,0.3297,2.1117,30.0903,7.2632,42.1753
unlabeled,0.0409,0.1749,2.2633,35.3394,-8.2397,51.8799
unlabeled,0.0376,0.0262,2.2264,42.2363,-37.4146,54.5044
unlabeled,0.0532,-0.2800,2.0991,36.0718,-42.1143,49.0723
unlabeled,0.0801,-0.3719,2.0509,18.6768,-32.4707,30.2734
unlabeled,0.0907,-0.6555,1.9932,16.7847,-26.6724,21.1182
unlabeled,0.1034,-0.8070,1.9524,21.7285,-16.7236,3.0518
unlabeled,0.1271,-0.9462,1.7476,25.8179,-9.7656,-4.5776
unlabeled,0.1160,-1.1719,1.5417,32.2266,-1.2817,-11.1694
unlabeled,0.1156,-1.2594,1.4661,21.9727,-35.0342,-26.4282
