label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.0398,-0.0438,1.1189,-15.9912,3.5400,-21.4233
unlabeled,0.0553,-0.0463,1.1465,-2.2583,-0.6714,-26.3062
unlabeled,0.0842,-0.0875,1.1385,6.4697,-2.6855,-25.3296
unlabeled,0.0894,-0.1759,1.1145,16.1133,-4.5776,-14.2212
unlabeled,0.1549,-0.4302,1.0757,13.9770,-5.3711,-9.7046
unlabeled,0.2472,-0.6284,1.0612,3.2349,-9.0332,-13.9160
unlabeled,0.2579,-0.6407,0.9990,-21.8506,-17.2119,-33.8135
unlabeled,0.1996,-0.4514,0.8457,-40.3442,-19.9585,-44.1894
unlabeled,0.1510,-0.3093,0.7653,-71.8994,-19.5923,-53.2837
unlabeled,0.0780,0.0192,0.6239,-83.3130,-17.2729,-55.2368
unlabeled,0.0354,0.2423,0.5741,-96.9849,-8.4839,-57.0679
unlabeled,-0.1810,0.8527,0.5447,-94.4824,-2.1973,-58.8989
unlabeled,-0.5488,1.6885,0.4960,-86.1816,0.2441,-57.9834
unlabeled,-0.7491,2.0483,0.4088,-78.4302,-18.4326,-50.2319
unlabeled,-1.1263,2.7186,0.2233,-77.6367,-30.6396,-54.4434
unlabeled,-1.2341,3.0449,0.1740,-75.0122,-55.2978,-70.6787
unlabeled,-1.0223,3.4514,-0.0289,-62.1948,-57.3120,-71.8384
unlabeled,-0.2402,3.3088,-0.0388,-12.5732,-14.6484,-37.1704
unlabeled,0.2266,3.0333,0.1036,68.1152,65.1245,69.0308
unlabeled,1.0099,2.1704,0.6056,108.5815,95.6421,132.2632
unlabeled,1.3220,1.5845,0.9172,138.6719,108.8257,249.0234
unlabeled,1.7014,0.0992,1.5913,156.6772,93.5059,262.0850
unlabeled,1.9041,-0.4224,1.7982,222.2900,36.1328,314.1479
unlabeled,2.0454,-2.2102,1.6322,230.0415,-7.0801,360.6567
unlabeled,1.6169,-3.9999,1.0709,145.8130,-56.0303,380.9814
unlabeled,1.3129,-3.9999,1.0004,73.6084,-48.5840,328.7353
unlabeled,0.9749,-3.9929,0.9948,-18.0054,0.1831,100.5859
unlabeled,1.0063,-3.7313,1.0782,-131.0425,2.8687,-139.4653
unlabeled,1.1624,-2.2896,1.1464,-163.0859,-24.6582,-182.0679
unlabeled,1.1311,-1.6410,1.1278,-146.1792,-50.7812,-179.8706
unlabeled,0.9808,-0.9263,1.1899,-119.5068,-46.0815,-187.0117
unlabeled,0.8489,-0.3510,1.0488,-78.7354,-40.0391,-221.8017
unlabeled,0.7542,-0.0885,0.8798,-70.8618,-43.0298,-227.3559
unlabeled,0.5190,0.2882,0.6539,-66.7114,-40.3442,-222.3511
unlabeled,0.3983,0.5123,0.6466,-63.4766,-31.7383,-212.2192
unlabeled,0.1354,1.1531,0.6152,-65.4907,-31.9824,-207.8857
unlabeled,0.0468,1.5099,0.5787,-61.4014,-36.1938,-164.2456
unlabeled,-0.0525,1.9279,0.5242,-51.6357,-37.5366,-125.4883
unlabeled,-0.0942,1.9419,0.4580,-15.4419,-25.9399,-66.8335
unlabeled,-0.2114,2.0424,0.2886,-4.4556,0.6104,-33.2031
unlabeled,-0.3625,2.2355,0.1991,-9.6436,9.3384,-13.7329
unlabeled,-0.4518,2.3295,0.1965,-23.0713,8.1177,6.9580
unlabeled,-0.5890,2.5583,0.2139,-24.5972,-1.7700,0.1831
unlabeled,-0.5847,2.7040,0.1404,-9.7656,-13.5498,-1.2817
unlabeled,-0.3665,2.7950,0.0452,6.0425,-2.2583,19.8975
unlabeled,-0.1768,2.6862,0.1274,48.2178,46.2646,84.4726
unlabeled,0.2745,2.3003,0.4165,71.5942,68.4204,117.6758
unlabeled,0.7566,1.6743,0.8534,109.3750,88.9282,188.4155
unlabeled,0.9402,1.1995,1.0782,115.8447,73.3032,244.5679
unlabeled,1.1390,0.3401,1.4454,138.2446,52.2461,237.1826
unlabeled,1.2446,-0.0171,1.5515,176.3306,9.6436,255.1269
unlabeled,1.4642,-1.0619,1.6493,171.8139,-4.1504,282.7148
unlabeled,1.5200,-1.7521,1.5868,119.5679,-29.3579,350.2197
unlabeled,1.3647,-3.2855,1.3510,82.3975,-33.9355,359.1308
unlabeled,0.8845,-3.9999,1.0338,47.9126,-8.1787,197.0825
unlabeled,0.7968,-3.9132,1.0067,-42.9077,15.6860,-79.8340
unlabeled,0.9456,-2.4062,1.1021,-93.6890,-11.7187,-148.1934
unlabeled,0.9374,-1.8920,1.0342,-114.5630,-70.8618,-147.1558
unlabeled,0.8492,-1.4629,0.9949,-97.2290,-77.8809,-153.4424
unlabeled,0.7661,-0.7788,0.8992,-62.0728,-75.5005,-194.7632
unlabeled,0.6859,-0.5082,0.7605,-45.8984,-54.6265,-201.8432
unlabeled,0.5356,-0.2692,0.6240,-32.1045,-42.1753,-198.4253
unlabeled,0.4896,-0.0583,0.6045,-15.6860,-26.5503,-170.2881
unlabeled,0.2944,0.1337,0.5786,-24.2920,-27.2827,-160.4614
unlabeled,0.1837,0.3994,0.4812,-4.3335,-12.5122,-206.1157
unlabeled,0.1971,0.7358,0.5367,3.9673,22.2168,-234.1919
unlabeled,0.2069,1.4742,0.7513,-11.9019,27.8931,-226.8677
