label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.1088,-0.1871,0.9702,-4.2114,8.5449,-18.5547
unlabeled,0.1312,-0.2354,0.9938,0.4272,6.3477,-18.0054
unlabeled,0.1914,-0.4044,0.9939,0.6104,2.8687,-17.0288
unlabeled,0.2256,-0.5183,0.9749,-7.5073,-5.3711,-19.5313
unlabeled,0.2823,-0.6067,0.8873,-18.9209,-9.7656,-24.8413
unlabeled,0.2823,-0.4508,0.7406,-58.0444,-16.0522,-33.9355
unlabeled,0.2363,-0.2880,0.7039,-105.8960,-15.5640,-37.9639
unlabeled,0.0768,0.2816,0.6699,-128.2959,-15.7471,-45.3491
unlabeled,-0.0569,0.7274,0.7039,-157.2266,-11.9629,-68.1152
unlabeled,-0.4760,1.7942,0.8474,-151.7334,-6.5308,-75.5005
unlabeled,-0.8748,2.8859,0.9751,-103.7598,2.5635,-82.6416
unlabeled,-0.9620,3.2822,1.0134,-23.9868,-2.7466,-70.6177
unlabeled,-0.8326,3.5762,0.9108,15.0146,-11.7187,-51.4526
unlabeled,-0.6404,3.4823,0.7635,70.0684,-21.4844,3.6621
unlabeled,0.0261,2.9321,0.5128,97.2900,-13.7329,37.4756
unlabeled,0.4135,2.4719,0.5125,152.5879,17.4561,122.0703
unlabeled,0.9807,1.3865,0.5950,169.4336,27.4048,177.1240
unlabeled,1.2148,-0.3647,0.6774,192.1387,25.7568,262.7563
unlabeled,1.4531,-1.3048,0.8484,266.2964,17.2729,290.9546
unlabeled,1.8833,-3.2767,1.1215,255.4931,4.6997,292.9687
unlabeled,1.8002,-3.9647,1.0615,117.1875,-37.9639,243.8354
unlabeled,1.1224,-3.9999,0.3721,49.1333,-45.5933,186.4014
unlabeled,0.8230,-3.9999,0.1610,-47.5464,6.1035,20.6909
unlabeled,0.7635,-3.6971,0.4890,-78.1860,20.3247,-51.9409
unlabeled,0.8876,-2.9021,0.3983,-98.9990,-20.8740,-111.0840
unlabeled,0.8755,-2.6060,0.2551,-108.6426,-41.9311,-161.6211
unlabeled,0.9530,-1.6545,0.2786,-118.8354,-34.3018,-196.2890
unlabeled,0.9973,-1.1100,0.3458,-154.7241,-10.5591,-227.5390
unlabeled,0.9272,-0.3400,0.5416,-150.8789,18.3716,-250.5493
unlabeled,0.7406,0.3726,0.7904,-127.0752,34.1187,-259.8877
unlabeled,0.6216,0.7661,0.9171,-78.1250,51.0254,-266.5405
unlabeled,0.3640,1.8248,1.0161,-72.0215,43.0298,-247.9248
unlabeled,0.1893,2.6993,0.8235,-96.3135,7.6294,-160.8887
unlabeled,0.1022,2.9515,0.7721,-107.6660,7.9346,-83.9233
unlabeled,-0.0289,3.3038,0.8953,-90.6982,17.7612,-56.1523
unlabeled,-0.0850,3.4353,0.9689,-39.1846,12.7563,-2.2583
unlabeled,-0.1510,3.2010,0.9424,-11.8408,-6.2866,14.2212
unlabeled,-0.1312,2.9347,0.8444,34.6069,-48.2788,12.8784
unlabeled,-0.0436,2.6180,0.5110,50.5981,-59.4482,15.8691
unlabeled,0.0596,2.2061,0.2732,60.6079,-52.3682,58.6548
unlabeled,0.1482,1.9464,0.2285,68.4204,-19.5313,112.4878
unlabeled,0.3699,1.4701,0.2909,71.1670,-3.1128,130.4321
unlabeled,0.4825,1.2834,0.3922,78.9185,22.8882,150.8789
unlabeled,0.7080,0.9327,0.6454,85.3271,31.2500,164.1235
unlabeled,0.8234,0.6868,0.8030,106.0181,43.8232,220.3979
unlabeled,1.0046,-0.5458,1.2074,132.5684,39.5508,239.6850
unlabeled,1.2264,-2.1646,1.3629,218.3838,35.0342,220.5200
