label,aX,aY,aZ,gX,gY,gZ
unlabeled,-0.1948,0.0975,0.8408,5.0659,-59.9976,46.3257
unlabeled,-0.1945,-0.0109,0.7734,7.8735,-65.6738,51.3916
unlabeled,-0.1846,-0.0226,0.7479,6.3477,-67.6270,46.0205
unlabeled,-0.1312,-0.0275,0.7102,5.1880,-68.2373,39.1846
unlabeled,-0.0944,-0.0126,0.6741,-1.8921,-67.3828,25.5737
unlabeled,-0.0889,0.0254,0.6569,-1.0376,-63.1714,15.1978
unlabeled,-0.1005,0.0946,0.5890,4.0894,-61.1572,11.5356
unlabeled,-0.1007,0.0985,0.5338,7.2632,-54.1992,10.3149
unlabeled,-0.0995,0.0133,0.4197,5.7373,-48.8892,12.8784
unlabeled,-0.1049,-0.0212,0.3788,-0.3052,-36.3159,12.8784
unlabeled,-0.1224,-0.0286,0.3217,-4.3335,-30.0293,9.7046
unlabeled,-0.1382,-0.0342,0.2625,-7.1411,-21.6064,4.3335
unlabeled,-0.1456,-0.0247,0.2251,-5.8594,-14.7095,-1.8921
unlabeled,-0.1587,0.0187,0.1860,-5.6763,-7.2021,-3.7842
unlabeled,-0.1377,0.0148,0.2310,-4.0283,11.9629,-5.9814
unlabeled,-0.1343,-0.0192,0.2523,0.1221,27.1606,-8.1177
unlabeled,-0.1689,-0.0714,0.3024,1.0986,35.4004,-12.1460
unlabeled,-0.1804,-0.0405,0.3523,-5.7373,53.8330,-26.2451
unlabeled,-0.1492,0.0000,0.4697,-8.3008,62.1948,-31.6772
unlabeled,-0.0957,0.0007,0.6130,-3.7842,74.7681,-38.7573
unlabeled,-0.1038,0.0165,0.6890,-3.4180,78.8574,-41.9922
unlabeled,-0.1570,0.0610,0.7896,-18.0054,81.6650,-45.8984
unlabeled,-0.1758,0.0912,0.8092,-23.6816,78.3691,-49.9878
unlabeled,-0.1658,0.1506,0.8573,-12.2681,79.9561,-52.7954
unlabeled,-0.1348,0.1528,0.9109,22.8882,89.8437,-56.0303
unlabeled,-0.0819,0.1379,1.0099,28.9917,92.7734,-55.4199
unlabeled,-0.0614,0.1577,1.0294,-0.7935,93.0176,-48.3398
unlabeled,-0.0653,0.3029,1.0846,-21.9116,93.8721,-43.0298
unlabeled,-0.0454,0.3674,1.2784,-28.3813,103.8208,-30.9448
unlabeled,0.0085,0.3496,1.3794,-1.5869,108.7646,-23.0103
unlabeled,0.1047,0.3051,1.5201,4.2725,104.1260,-19.9585
unlabeled,0.1208,0.2922,1.5513,-1.0986,87.6465,-15.1367
unlabeled,0.1323,0.2352,1.6029,0.0000,81.1157,-13.6108
unlabeled,0.1425,0.1801,1.6482,13.0005,67.8711,-12.1460
unlabeled,0.1564,0.1641,1.6450,15.3198,57.6782,-14.1602
unlabeled,0.1549,0.2241,1.5861,5.3101,37.4146,-17.0288
unlabeled,0.1322,0.3607,1.5212,-4.5776,31.9824,-13.5498
unlabeled,0.1285,0.3790,1.6542,-20.5688,27.2827,0.7324
unlabeled,0.1385,0.3534,1.7483,-11.7187,16.2354,7.9346
unlabeled,0.1664,0.3033,1.8608,1.0986,6.5308,7.9956
unlabeled,0.1759,0.2942,1.8413,13.9770,-18.5547,8.9722
unlabeled,0.1741,0.3065,1.7175,10.0098,-30.8838,13.4277
unlabeled,0.1633,0.3007,1.6503,-4.1504,-54.8706,26.0620
unlabeled,0.1257,0.2699,1.5046,-7.3242,-65.1245,29.6020
unlabeled,0.1134,0.2717,1.4418,-2.5024,-76.4160,30.3955
