label,aX,aY,aZ,gX,gY,gZ
unlabeled,-0.0145,0.1796,0.9626,4.0894,-3.9062,-0.9766
unlabeled,-0.0223,0.1885,0.9395,2.3193,-2.4414,0.9766
unlabeled,-0.0271,0.1621,0.9246,0.4272,-0.4883,5.6763
unlabeled,-0.0266,0.1531,0.9175,2.1973,1.5869,5.6763
unlabeled,-0.0157,0.1589,0.9279,4.1504,3.6011,5.9204
unlabeled,-0.0131,0.1608,0.9561,1.7700,7.2021,4.2725
unlabeled,-0.0142,0.1559,1.0052,0.0000,6.8359,1.9531
unlabeled,-0.0184,0.1479,1.0189,-2.6855,2.0142,0.5493
unlabeled,-0.0322,0.1166,1.0437,-4.1504,0.0610,1.2817
unlabeled,-0.0598,0.1271,1.1019,-7.9346,0.2441,-0.2441
unlabeled,-0.1003,0.1516,1.1459,-20.9961,4.5776,-1.4648
unlabeled,-0.1573,0.1558,1.2725,-26.3062,8.6670,-0.1221
unlabeled,-0.1493,0.1299,1.3615,-35.8887,15.6860,1.8921
unlabeled,-0.1064,0.1312,1.5367,-41.1987,16.0522,0.7935
unlabeled,-0.0874,0.1749,1.6030,-46.3867,7.0190,-4.3335
unlabeled,-0.0811,0.2903,1.6246,-46.0815,-2.8076,-5.3711
unlabeled,-0.0844,0.3959,1.5566,-41.6870,-20.4468,-0.6104
unlabeled,-0.0670,0.4275,1.5452,-42.4805,-26.5503,9.0332
unlabeled,-0.0083,0.3900,1.5181,-42.7856,-30.0903,14.9536
unlabeled,0.0168,0.3389,1.4813,-34.6069,-42.7856,24.7803
unlabeled,0.0327,0.3446,1.3987,-26.3672,-52.3682,24.0478
unlabeled,0.0264,0.3616,1.3490,-6.0425,-72.3267,22.2168
unlabeled,0.0159,0.3768,1.2089,2.6245,-79.7729,24.2310
unlabeled,-0.0100,0.3982,1.0457,18.0054,-87.2803,25.0854
unlabeled,-0.0238,0.4003,0.9867,26.3672,-81.2988,24.8413
unlabeled,-0.0419,0.3597,0.9330,26.9165,-75.8057,25.6348
unlabeled,-0.0540,0.3597,0.9230,24.8413,-68.6035,25.5127
unlabeled,-0.0753,0.3573,0.8945,23.0713,-67.5049,26.4893
unlabeled,-0.1074,0.2963,0.8511,13.2446,-67.3218,31.0059
unlabeled,-0.1270,0.3049,0.8375,8.3008,-65.6738,28.8696
unlabeled,-0.1475,0.3613,0.8392,14.2212,-65.1855,26.1230
unlabeled,-0.1389,0.3400,0.8365,29.4800,-67.8101,29.7241
unlabeled,-0.1500,0.2465,0.7692,32.3486,-71.5332,34.9731
unlabeled,-0.1643,0.2357,0.7305,40.2222,-80.6274,37.1704
unlabeled,-0.1926,0.1960,0.6560,46.3257,-84.5337,34.6069
unlabeled,-0.2004,0.1368,0.6180,54.8096,-84.7168,27.7100
unlabeled,-0.1989,0.1322,0.6151,48.9502,-83.4961,23.0713
unlabeled,-0.2073,0.1024,0.5618,40.9546,-82.4585,25.6958
unlabeled,-0.2177,0.0509,0.5229,34.3018,-76.4160,28.8696
unlabeled,-0.2450,0.0049,0.4351,34.2407,-71.6553,23.8037
unlabeled,-0.2700,-0.0029,0.3895,40.1001,-56.7627,12.0850
unlabeled,-0.2800,-0.0490,0.3867,60.9131,-45.1050,-1.7700
unlabeled,-0.2893,-0.1323,0.3754,67.2607,-42.2974,-11.7798
unlabeled,-0.2900,-0.1052,0.3605,56.3354,-36.3159,-27.4658
unlabeled,-0.2969,0.0103,0.2864,45.2881,-32.8369,-28.2593
unlabeled,-0.3051,0.0121,0.2408,30.5786,-22.7051,-19.8364
unlabeled,-0.3191,-0.0247,0.1876,24.7803,-14.8315,-17.4561
unlabeled,-0.3066,-0.0256,0.2065,9.8877,4.4556,-18.4326
unlabeled,-0.2964,-0.0208,0.2393,-1.8311,22.3999,-22.8882
unlabeled,-0.2799,0.0493,0.3115,-3.9673,28.6255,-25.8789
unlabeled,-0.2833,0.1342,0.3793,-2.7466,36.4380,-22.8882
unlabeled,-0.2916,0.1265,0.4131,0.2441,42.1753,-10.8032
unlabeled,-0.2947,0.0111,0.4707,2.6855,44.9829,-7.8125
unlabeled,-0.2804,-0.0161,0.4971,3.2959,49.3774,-14.5874
unlabeled,-0.2443,0.0525,0.5533,-0.6714,50.6592,-20.8130
unlabeled,-0.2590,0.1368,0.6376,-7.6904,53.9551,-26.3672
unlabeled,-0.2688,0.1720,0.7209,-2.9297,56.8237,-26.8555
unlabeled,-0.2355,0.1835,0.8273,6.7139,55.3589,-21.3013
unlabeled,-0.2136,0.1506,0.8146,-13.0615,37.5977,-5.7983
unlabeled,-0.2433,-0.0161,0.7446,-25.5127,32.8369,0.5493
unlabeled,-0.2714,-0.0574,0.7792,-26.1230,47.1191,-13.3057
unlabeled,-0.2853,0.0328,0.9454,-10.9253,56.5186,-29.1748
unlabeled,-0.2772,0.0648,0.9886,14.7705,58.6548,-43.2129
unlabeled,-0.2458,0.0905,0.9324,7.3853,52.2461,-41.3818
unlabeled,-0.2728,0.1865,0.8309,-35.2173,43.4570,-33.2031
unlabeled,-0.2889,0.2150,0.8322,-39.1846,58.7769,-28.1982
unlabeled,-0.2551,0.2244,0.9226,-27.3437,68.2983,-29.1138
unlabeled,-0.2104,0.2161,0.9573,-16.6016,74.2798,-28.4424
unlabeled,-0.2174,0.2404,0.9518,-17.6392,71.8994,-26.3672
unlabeled,-0.2784,0.3478,0.9503,-15.6250,74.4019,-23.9868
unlabeled,-0.2681,0.3575,1.0070,7.6904,92.0410,-11.2305
unlabeled,-0.1486,0.2467,1.2701,10.3760,97.8393,-3.1128
unlabeled,-0.0973,0.2086,1.3470,-4.3945,84.7778,10.0708
unlabeled,-0.0992,0.1801,1.2500,-2.0752,74.0356,13.6719
unlabeled,-0.1626,0.2524,1.1783,14.0991,68.3594,15.3198
unlabeled,-0.1868,0.2406,1.2170,30.7617,78.8574,18.8599
unlabeled,-0.1697,0.1342,1.3593,37.2925,85.2661,19.8975
unlabeled,-0.1385,0.0664,1.4487,22.1558,96.0083,23.4985
unlabeled,-0.0874,-0.0420,1.5939,-6.8970,98.0225,25.2686
unlabeled,-0.0842,-0.0417,1.6521,-62.9883,94.9707,20.7520
unlabeled,-0.0696,0.0961,1.7990,-67.7490,91.7969,14.0381
unlabeled,-0.0288,0.1630,1.8651,-50.6592,78.7964,4.8828
unlabeled,0.0643,0.1780,1.8666,-46.5698,64.9414,3.7231
