label,aX,aY,aZ,gX,gY,gZ
unlabeled,-0.0704,-0.0013,0.9884,-1.7090,0.3052,-2.1362
unlabeled,-0.0710,0.0060,0.9929,-1.5869,1.6479,2.0142
unlabeled,-0.0482,0.0225,1.0016,-1.5259,0.5493,3.1738
unlabeled,-0.0460,0.0201,1.0033,-2.0752,-4.4556,7.3853
unlabeled,-0.0573,-0.0027,1.0012,-3.4790,-7.7515,8.8501
unlabeled,-0.0580,-0.0074,1.0068,-11.4746,-13.3057,10.4980
unlabeled,0.0731,0.0371,1.0217,-20.9961,-13.7939,10.9863
unlabeled,0.1166,0.0250,1.0087,-34.5459,-9.0332,3.8452
unlabeled,0.1545,0.0151,0.9500,-28.9307,-3.6621,-5.0049
unlabeled,0.1453,0.0458,0.9136,21.1182,7.9346,-7.9346
unlabeled,0.1613,0.0061,1.0333,53.4668,16.1743,9.2163
unlabeled,0.2021,0.0021,1.1110,25.4517,17.5171,8.7280
unlabeled,0.1598,0.0887,1.0234,1.1597,5.3101,-4.8828
unlabeled,0.0577,0.0774,0.9857,-2.1362,-3.9062,-5.0659
unlabeled,-0.1793,-0.0477,0.9854,1.5869,-1.4038,-1.4648
unlabeled,-0.6716,-0.1550,0.9379,2.4414,-5.4321,-9.5825
unlabeled,-0.9646,-0.1283,0.8895,3.0518,-0.7935,-21.7895
unlabeled,-1.1041,-0.0431,0.8638,6.2256,15.0757,-25.3906
unlabeled,-1.3679,-0.0945,0.8798,19.8364,36.5601,-80.2612
unlabeled,-2.0751,-0.0126,0.9496,15.9302,29.1138,-102.0508
unlabeled,-2.1311,-0.0900,0.8901,-9.3384,-34.7290,-11.2915
unlabeled,-1.7487,-0.1331,0.8326,-9.5825,-36.3159,29.8462
unlabeled,-1.5940,-0.1345,0.8750,-7.0801,-21.9116,36.1938
unlabeled,-0.9242,-0.1863,0.9113,-7.5684,-31.7383,38.0859
unlabeled,0.4568,-0.1331,0.9624,-6.1035,-15.1978,63.5376
unlabeled,1.2173,-0.0731,1.0885,-7.4463,11.3525,66.4673
unlabeled,2.2910,0.0833,1.2322,-2.9297,21.9727,16.6626
unlabeled,2.5808,0.3298,1.2506,2.5024,20.2026,-58.1055
unlabeled,2.5889,0.7064,1.2566,1.4038,16.7236,-72.8149
unlabeled,2.1051,0.5422,1.3024,-8.9111,-36.8042,7.2632
unlabeled,2.0430,0.3514,1.1451,-7.3242,-63.0493,63.2935
unlabeled,1.5911,0.0709,1.0442,8.6670,-13.9770,55.7251
unlabeled,0.9858,-0.5897,1.1482,7.1411,22.2778,29.0527
unlabeled,0.8674,-0.4838,1.1818,0.2441,5.1880,-20.3857
unlabeled,0.4089,0.0027,0.9961,0.2441,-7.9346,-34.8511
unlabeled,0.1633,0.1836,0.9880,2.3193,6.7139,-34.6069
unlabeled,-0.6018,0.2458,0.9637,1.6479,7.2632,-25.0854
unlabeled,-1.0413,0.1891,0.9043,1.2817,-4.8218,-13.3057
unlabeled,-2.0139,0.0881,0.7765,2.3193,-5.0659,-15.0146
unlabeled,-2.5131,0.0284,0.7361,3.9673,-6.0425,-11.7187
unlabeled,-2.3693,-0.0952,0.6729,4.9438,-5.4321,-6.5918
unlabeled,-2.0104,0.1276,0.7808,10.0098,42.5415,-53.0395
unlabeled,-2.2002,0.1466,0.9420,6.5918,57.3120,-90.3931
unlabeled,-1.7896,0.0905,0.8739,-7.7515,-23.6816,-16.2964
unlabeled,-1.5065,0.0552,0.8092,-8.1177,-38.2080,58.8989
unlabeled,-0.7946,-0.0795,0.9153,-7.3242,-19.5923,64.0259
unlabeled,-0.3729,-0.1282,0.9760,-7.8735,-19.1040,60.9131
unlabeled,0.7892,-0.0271,1.0609,-8.4229,-20.9351,60.9131
unlabeled,1.4935,0.0658,1.1317,-5.4932,-1.2207,49.4995
unlabeled,2.4624,0.1689,1.2672,-3.1128,12.2681,30.3345
unlabeled,2.6979,0.1309,1.3176,2.3804,17.2729,-18.7378
unlabeled,1.9489,-0.0056,1.3259,0.9155,-4.8828,-26.0620
unlabeled,2.2905,0.1052,1.1345,6.0425,-29.7852,12.6953
unlabeled,1.8774,0.2517,1.1351,7.9346,5.0049,0.6714
unlabeled,1.0801,0.0203,1.2328,6.2866,33.4473,-43.5181
unlabeled,0.8018,0.0229,1.1349,5.1880,4.8218,-45.4712
unlabeled,0.2642,0.0452,0.9756,5.4321,-14.9536,-37.5366
unlabeled,-0.0892,-0.0206,0.9874,6.6528,5.1270,-34.3628
unlabeled,-0.9733,-0.0598,0.9347,7.6294,-1.2207,-34.7290
unlabeled,-1.4822,-0.0681,0.8413,10.5591,-14.4043,-38.4521
unlabeled,-2.4497,0.0006,0.6826,10.6812,-13.3667,-38.7573
unlabeled,-2.8402,0.0858,0.6326,7.4463,-8.9111,-31.7383
unlabeled,-1.9253,0.1880,0.7667,8.0566,-1.4648,-23.3765
unlabeled,-1.7438,0.1183,0.8696,7.5684,-20.9961,-78.5522
unlabeled,-2.1683,0.2120,0.7296,-5.6763,-46.9360,-96.4966
unlabeled,-2.0579,0.1815,0.6915,-9.2773,-61.2183,-9.1553
unlabeled,-1.5800,0.0878,0.6316,-6.1035,-37.9028,34.2407
unlabeled,-1.0165,-0.0283,0.8688,-15.9912,4.2114,59.2041
unlabeled,-0.5516,-0.1073,0.8987,-15.4419,-1.1597,65.2466
unlabeled,0.9739,-0.0828,1.1516,-15.1978,12.1460,71.4722
unlabeled,1.7753,-0.0011,1.2792,-9.4604,22.6440,46.3257
unlabeled,2.6306,0.0452,1.4281,-1.3428,21.6064,22.9492
unlabeled,2.7744,0.0719,1.4485,7.9956,9.8877,-26.0620
unlabeled,1.6705,0.0780,1.2184,3.8452,-1.5869,-21.1182
unlabeled,2.1843,0.1212,1.2405,-2.3193,20.0806,33.8135
unlabeled,1.8053,0.2972,1.2579,5.1270,33.5693,15.9302
unlabeled,1.2684,0.1805,1.2281,4.9438,20.6909,-3.1738
unlabeled,0.7170,-0.0103,1.1165,1.2817,-2.5024,0.9155
unlabeled,0.3782,-0.0659,1.0118,2.3193,-11.4746,-1.2207
unlabeled,-0.3865,-0.0847,0.9514,3.3569,1.4038,-2.8076
unlabeled,-1.1980,-0.0699,0.8765,3.9673,0.7935,-0.7935
unlabeled,-1.7374,-0.1136,0.7703,3.8452,-9.8267,2.1973
unlabeled,-2.7572,-0.2241,0.6233,3.4790,-8.9722,4.6387
unlabeled,-2.8403,-0.1364,0.5740,3.9062,-7.1411,-3.4790
unlabeled,-1.8043,-0.0142,0.8824,15.9912,-3.2349,-29.6631
unlabeled,-2.3514,-0.0396,0.7192,18.9819,-55.8472,-121.1548
unlabeled,-2.5232,0.1372,0.5339,-5.2490,-61.7676,-87.4634
unlabeled,-2.2054,0.1199,0.5391,-16.2964,-35.9497,36.9263
unlabeled,-1.3887,-0.0146,0.7354,-17.5171,-12.5122,62.8662
unlabeled,-0.3894,-0.1067,0.9185,-18.4326,2.9907,62.9883
unlabeled,0.2493,-0.0454,1.0092,-16.2964,8.0566,56.5186
unlabeled,1.8239,0.1448,1.3254,-13.0005,25.7568,40.3442
unlabeled,2.3589,0.1774,1.4236,-0.3052,25.5737,14.4653
unlabeled,2.9963,0.1196,1.5155,5.9814,19.6533,-0.7324
unlabeled,2.5215,0.0997,1.4436,2.1362,-1.3428,-15.0757
unlabeled,1.8157,0.0785,1.1904,-12.5732,-0.9766,22.5830
unlabeled,2.4165,0.1832,1.3796,-7.3242,33.6914,76.7822
unlabeled,1.4100,0.2568,1.2042,7.2632,36.2549,44.1894
unlabeled,1.1671,0.0679,1.2272,6.8359,23.1323,13.4888
unlabeled,0.6600,-0.0409,1.1079,4.0283,-2.0752,-10.6201
unlabeled,0.2675,0.0449,0.9922,3.9673,-9.0942,-33.9966
unlabeled,-0.5752,0.0762,0.9406,5.6152,2.7466,-25.6958
unlabeled,-1.0245,0.0216,0.9030,3.3569,-6.2866,-2.9907
unlabeled,-2.0739,-0.1373,0.7036,2.0142,-14.2212,3.3569
unlabeled,-3.0430,-0.3076,0.5431,1.7090,-10.8643,8.3008
unlabeled,-2.6841,-0.2516,0.5613,1.1597,-5.9814,4.4556
unlabeled,-1.6975,-0.0056,0.9031,18.8599,-2.0752,-45.8984
unlabeled,-2.3267,-0.0001,0.6575,14.2822,-59.9976,-103.8208
unlabeled,-2.2020,-0.0432,0.5994,-6.9580,-64.0259,-35.5835
unlabeled,-1.8633,-0.0698,0.5854,-20.2026,-39.0015,89.7827
unlabeled,-1.0927,-0.2211,0.7841,-21.9727,-8.6060,102.4170
unlabeled,-0.6819,-0.2717,0.8948,-17.3950,2.3804,75.1953
unlabeled,0.3121,-0.1497,1.0392,-12.5732,6.2256,57.8613
unlabeled,0.9955,-0.0081,1.1758,-3.6011,21.1792,17.2119
unlabeled,2.1943,0.3761,1.4128,-0.8545,26.2451,3.1738
unlabeled,2.5625,0.4771,1.5001,10.4980,19.5923,-18.7988
unlabeled,1.9764,0.4033,1.3677,12.3291,5.1880,-29.5410
unlabeled,1.1564,0.1554,1.1279,-15.8081,2.3804,12.8784
unlabeled,2.1333,0.3557,1.3236,-20.9961,31.2500,31.6162
