label,aX,aY,aZ,gX,gY,gZ
unlabeled,-0.0505,0.4911,0.8400,-0.4883,-1.8311,-0.6104
unlabeled,-0.0526,0.4830,0.8375,0.5493,-0.4272,-0.0610
unlabeled,-0.0527,0.4775,0.8402,0.1831,0.9155,0.3052
unlabeled,-0.0500,0.4814,0.8431,-0.6104,1.3428,0.1831
unlabeled,-0.0472,0.4861,0.8466,-2.0752,2.2583,-0.1831
unlabeled,-0.0428,0.4871,0.8651,-1.9531,2.5024,-0.3052
unlabeled,-0.0466,0.4878,0.8696,-0.7935,1.4648,-0.3662
unlabeled,-0.0485,0.4863,0.8655,-0.9766,0.3052,0.3052
unlabeled,-0.0511,0.4893,0.8595,-1.0376,0.1831,0.4272
unlabeled,-0.0516,0.4912,0.8596,-0.3662,0.2441,0.0000
unlabeled,-0.0486,0.4962,0.8639,0.4272,0.1831,-0.2441
unlabeled,-0.0447,0.4883,0.8622,1.2207,-0.4272,-0.3662
unlabeled,-0.0444,0.4813,0.8572,0.3052,-1.0376,-0.1831
unlabeled,-0.0471,0.4858,0.8473,0.1831,-0.9766,-0.4883
unlabeled,-0.0488,0.4911,0.8425,0.5493,-0.4272,-0.7324
unlabeled,-0.0516,0.4930,0.8353,0.9155,-0.0610,-0.1831
unlabeled,-0.0531,0.4830,0.8346,2.5024,0.5493,0.4272
unlabeled,-0.0504,0.4683,0.8395,2.8076,0.6714,-0.0610
unlabeled,-0.0494,0.4775,0.8456,2.6245,1.3428,-1.8921
unlabeled,-0.0448,0.4954,0.8652,2.5024,1.8311,-2.3193
unlabeled,-0.0483,0.5032,0.8761,2.5635,2.5635,-1.5869
unlabeled,-0.0554,0.5106,0.8787,4.7607,3.4180,-0.7324
unlabeled,-0.0719,0.5159,0.9442,6.2866,4.0283,-0.6104
unlabeled,-0.0779,0.5244,0.9875,9.1553,1.1597,-1.5259
unlabeled,-0.0879,0.5425,1.0371,8.6670,-1.4648,-2.0752
unlabeled,-0.0979,0.5597,1.0598,7.7515,-4.5776,-2.1973
unlabeled,-0.1163,0.6080,1.1069,8.5449,-5.7983,-1.0986
unlabeled,-0.1176,0.6344,1.1501,8.7280,-6.1035,0.8545
unlabeled,-0.1073,0.6372,1.1714,7.6294,-7.7515,6.3477
unlabeled,-0.0898,0.6512,1.2032,10.3760,-10.6201,8.7891
unlabeled,-0.0922,0.6588,1.1893,17.2119,-20.9961,13.7329
unlabeled,-0.0934,0.6421,1.1266,19.7144,-25.8179,16.8457
unlabeled,-0.0901,0.6288,1.0836,24.2310,-32.2876,23.6816
unlabeled,-0.1014,0.5760,1.0062,22.4609,-33.3252,27.0996
unlabeled,-0.1140,0.5002,0.9694,17.2119,-32.5928,35.7666
unlabeled,-0.1204,0.4490,0.9547,18.7378,-31.6162,41.0767
