label,aX,aY,aZ,gX,gY,gZ
unlabeled,-0.1423,-0.0028,0.9822,-1.0376,0.1831,0.4883
unlabeled,-0.1427,-0.0020,0.9806,-0.4883,0.3662,0.6104
unlabeled,-0.1426,-0.0009,0.9806,-0.8545,0.9155,0.7324
unlabeled,-0.1420,-0.0016,0.9823,-1.3428,1.1597,0.9766
unlabeled,-0.1421,-0.0020,0.9830,-1.0376,1.0986,1.0986
unlabeled,-0.1353,-0.0013,0.9825,-0.9155,1.0376,1.2817
unlabeled,-0.1295,0.0000,0.9788,-1.7700,1.8921,2.3193
unlabeled,-0.1121,0.0066,0.9819,-2.9907,2.6855,3.6011
unlabeled,-0.0774,0.0238,0.9988,-4.6387,4.0283,8.1177
unlabeled,-0.0034,0.0312,1.0035,-3.2959,3.8452,9.7656
unlabeled,0.0247,0.0327,1.0000,-0.5493,5.2490,11.3525
unlabeled,0.0319,0.0508,0.9973,-0.3052,7.2632,11.1694
unlabeled,0.1132,0.0629,1.0148,-0.6104,11.2915,10.7422
unlabeled,0.2180,0.0519,1.0466,0.6104,10.8032,8.8501
unlabeled,0.2427,0.0986,1.0093,4.0283,-2.3804,-2.7466
unlabeled,0.2261,0.1324,1.0117,3.9062,4.8218,-7.3242
unlabeled,0.1720,0.1472,1.0366,4.2725,5.3711,-6.2866
unlabeled,0.0989,0.1028,1.0200,2.0142,2.0142,2.5635
unlabeled,-0.0612,0.0151,0.9999,-0.6714,2.8687,12.0850
unlabeled,-0.1715,-0.0526,0.9904,-1.8311,2.3804,31.3110
unlabeled,-0.5612,-0.2609,0.9301,0.2441,1.8921,31.7383
unlabeled,-0.8546,-0.3400,0.9006,1.7700,-0.7324,19.1040
unlabeled,-1.2434,-0.2632,0.8164,3.2959,-1.0376,15.1978
unlabeled,-1.2875,-0.2650,0.8821,12.3901,-8.9722,-2.6855
unlabeled,-1.7831,-0.5410,0.7775,18.8599,-28.0762,-7.8735
unlabeled,-1.9199,-0.5698,0.6987,13.9770,-47.3022,-28.4424
unlabeled,-2.3201,0.0529,0.5394,-11.4136,-48.8281,-37.5977
unlabeled,-1.6346,-0.0952,0.6837,-20.2026,-15.8691,5.6152
unlabeled,-1.4170,-0.1313,0.7678,-12.1460,2.0752,21.3013
unlabeled,-0.6360,0.0020,0.9138,-10.1318,-3.5400,11.2305
unlabeled,-0.0546,0.0645,0.9856,-0.9155,-0.4272,-10.8643
unlabeled,1.1768,0.4093,1.2092,-1.3428,9.4604,-13.3057
unlabeled,1.8439,0.5236,1.3315,6.8970,9.2163,-20.5688
unlabeled,2.7915,0.3562,1.5079,16.8457,6.6528,-36.2549
unlabeled,2.8960,0.1597,1.5286,18.2495,-1.7090,-64.5752
unlabeled,1.7321,0.0051,1.2578,2.8076,-4.2114,-47.9736
unlabeled,1.6948,0.4302,1.1730,-29.0527,28.0151,-5.9814
unlabeled,2.0312,0.3405,1.3794,-20.8740,44.2505,4.2725
unlabeled,1.6700,-0.0251,1.3295,17.9443,23.1934,49.1943
unlabeled,0.9337,-0.5298,1.1649,13.1836,1.8921,42.1143
unlabeled,0.1754,-0.4794,1.0029,0.6714,-16.0522,-10.7422
unlabeled,-0.1617,-0.3872,0.9631,18.9209,7.6294,-37.0483
unlabeled,-1.0967,-0.0573,0.8823,19.5923,3.5400,-47.1802
unlabeled,-1.6060,0.1313,0.7765,10.3149,-13.8550,-65.0635
unlabeled,-2.5383,0.3718,0.5930,3.5400,-17.7002,-61.7065
unlabeled,-2.8851,0.3815,0.5146,-1.2207,-16.0522,-28.3813
unlabeled,-2.0081,0.0803,0.6134,5.8594,-11.5356,-5.6152
unlabeled,-1.9379,-0.0948,0.7885,8.6670,-43.7622,28.0151
