label,aX,aY,aZ,gX,gY,gZ
unlabeled,-0.1494,0.0118,0.9789,-0.9155,0.2441,1.8921
unlabeled,-0.1523,0.0133,0.9805,-2.1973,0.0000,3.9673
unlabeled,-0.1594,0.0176,0.9792,-2.9297,-0.5493,5.4321
unlabeled,-0.1418,0.0081,0.9865,-1.4648,-2.0142,7.0190
unlabeled,-0.1353,0.0074,0.9851,-1.1597,-2.1362,6.8359
unlabeled,-0.1268,0.0038,0.9833,-0.9155,-1.0986,6.0425
unlabeled,-0.1206,0.0018,0.9871,-0.2441,-0.2441,3.8452
unlabeled,-0.1316,0.0132,0.9712,-0.3052,-0.3662,2.5635
unlabeled,-0.1309,0.0269,0.9695,-2.5635,4.7607,5.2490
unlabeled,-0.0111,0.0596,1.0139,-3.6621,6.7139,8.1787
unlabeled,0.1162,0.0873,1.0308,-3.5400,2.7466,12.0850
unlabeled,0.3822,0.1407,1.0347,-2.0142,2.3804,10.6812
unlabeled,0.4689,0.1200,1.0455,3.2959,10.9253,5.5542
unlabeled,0.7101,0.0414,1.0961,5.9814,15.9302,8.9722
unlabeled,0.8560,0.0142,1.1138,15.0757,21.9727,5.2490
unlabeled,0.9723,0.0618,1.1520,13.7329,21.3013,-7.7515
unlabeled,0.8690,0.1553,1.1442,1.9531,-0.6714,-19.4702
unlabeled,0.5237,0.1832,1.0490,3.1738,-2.9297,-13.4277
unlabeled,0.1516,0.0604,1.0295,5.7373,7.4463,-4.0283
unlabeled,-0.1057,0.0326,0.9958,6.4087,7.0801,-5.4932
unlabeled,-0.6265,0.0304,0.9463,3.9062,0.8545,-5.0049
unlabeled,-0.9064,-0.0005,0.8792,0.2441,-4.6387,8.9111
unlabeled,-1.4492,-0.2498,0.8052,2.3193,3.4180,17.8833
unlabeled,-1.6888,-0.3727,0.7728,5.7373,10.9863,21.2402
unlabeled,-1.8865,-0.3265,0.8359,5.3101,12.3901,17.2119
unlabeled,-1.4811,-0.1553,0.8796,10.1929,-0.6714,-1.9531
unlabeled,-2.1030,-0.1978,0.7638,17.6392,-24.7192,-19.1650
unlabeled,-2.3793,-0.2284,0.6029,2.9907,-39.7339,-20.9351
unlabeled,-2.0021,-0.0636,0.7047,-12.7563,-33.1421,-5.4932
unlabeled,-1.7379,0.0640,0.7410,-22.8882,-35.1563,33.0200
unlabeled,-1.3478,0.1566,0.7318,-20.7520,-31.7993,44.4336
unlabeled,-0.5376,0.1245,0.9268,-16.1133,-5.0049,54.1992
unlabeled,0.0372,0.1155,1.0518,-12.0850,-11.5356,45.7153
unlabeled,0.9860,0.1322,1.1367,-9.3994,-12.2681,42.2974
unlabeled,1.5273,0.2515,1.2194,-6.7139,13.3667,20.8130
unlabeled,2.4689,0.3289,1.4314,-4.7607,17.7002,9.0332
unlabeled,2.7029,0.2277,1.4780,-0.0610,11.4746,-10.3760
