label,aX,aY,aZ,gX,gY,gZ
unlabeled,-0.4729,-0.3221,0.1670,30.7007,-73.1201,57.8613
unlabeled,-0.5060,-0.3099,0.1660,32.2876,-51.2085,20.3247
unlabeled,-0.5562,-0.1833,0.2085,12.0239,-28.0151,-0.3662
unlabeled,-0.5195,-0.1581,0.3523,-20.4468,15.6860,-22.5220
unlabeled,-0.5061,-0.1674,0.3936,-28.2593,33.4473,-34.0576
unlabeled,-0.5159,-0.1060,0.4025,-24.6582,39.2456,-41.3208
unlabeled,-0.5220,-0.0937,0.3927,-13.6108,56.2134,-58.6548
unlabeled,-0.5243,-0.0856,0.3894,-11.1694,69.1528,-68.4814
unlabeled,-0.5162,-0.0248,0.4592,-22.0947,101.3184,-87.1582
unlabeled,-0.5024,0.0444,0.5083,-48.7671,125.6714,-98.4497
unlabeled,-0.4413,0.0968,0.5920,-61.9507,132.3242,-102.2339
unlabeled,-0.4073,0.0824,0.6311,-82.9468,142.2729,-112.9761
unlabeled,-0.3173,0.0856,0.6896,-83.5571,148.3154,-119.9951
unlabeled,-0.2854,0.0942,0.6993,-54.8706,160.0952,-139.0381
unlabeled,-0.2588,0.3146,0.7491,-33.3252,164.4897,-153.3203
unlabeled,-0.1942,0.7799,0.8234,-15.3809,164.7339,-180.2368
unlabeled,-0.1547,0.8715,0.8632,-24.1089,162.5976,-146.5454
unlabeled,-0.1129,0.7335,1.0088,-22.1558,158.8135,-117.1265
unlabeled,-0.1008,0.6215,1.0850,6.7139,131.9580,-76.0498
unlabeled,-0.0934,0.5376,1.1700,24.9634,114.4409,-65.7959
unlabeled,-0.0927,0.5592,1.1830,26.3062,86.2427,-44.7998
unlabeled,-0.0875,0.5857,1.1643,11.3525,77.3926,-32.0435
unlabeled,-0.0758,0.4153,1.1472,3.6621,66.5894,-17.1509
unlabeled,-0.0840,0.3427,1.1326,14.2212,56.3354,-8.9111
unlabeled,-0.0889,0.3698,1.1517,27.8931,49.4385,-8.9111
unlabeled,-0.1039,0.4213,1.1526,50.2319,38.5132,-15.8081
unlabeled,-0.0847,0.4988,1.1362,43.1519,38.4521,-19.4092
unlabeled,-0.0641,0.4929,1.1113,12.0850,38.3911,-14.1602
unlabeled,-0.0448,0.4214,1.0409,5.7373,37.1704,-8.6060
unlabeled,-0.0507,0.4529,0.9813,4.7607,37.7197,-3.3569
unlabeled,-0.0564,0.4351,0.9552,12.6343,42.5415,2.2583
unlabeled,-0.0413,0.3907,0.9668,21.1792,45.4102,3.0518
unlabeled,-0.0208,0.3813,1.0265,31.7383,50.9644,3.0518
unlabeled,0.0352,0.3719,1.1858,25.6958,50.6592,2.0752
unlabeled,0.0553,0.4338,1.2471,17.0898,38.1470,2.4414
unlabeled,0.1129,0.5197,1.3641,24.7192,27.6489,9.2773
unlabeled,0.1542,0.5060,1.4648,55.0537,-3.4790,23.8037
unlabeled,0.1516,0.5593,1.4928,72.5098,-23.3154,25.5737
unlabeled,0.1393,0.5360,1.4913,80.0171,-60.2417,44.5557
unlabeled,0.1469,0.3632,1.4678,62.8052,-92.2851,76.5991
unlabeled,0.0894,-0.0106,1.3693,60.5469,-106.1401,78.4302
unlabeled,0.0450,-0.0167,1.3256,54.6875,-125.4272,53.6499
unlabeled,-0.0402,0.2476,1.1449,55.6641,-132.3853,35.8276
unlabeled,-0.0902,0.3339,1.0298,54.8096,-131.2866,26.3062
unlabeled,-0.1786,0.3677,0.9558,36.1328,-127.5635,35.8887
unlabeled,-0.1924,0.3461,0.9567,22.3999,-133.1787,38.1470
unlabeled,-0.1768,0.3069,0.9337,8.4229,-148.9258,46.9360
unlabeled,-0.1890,0.1691,0.8287,9.0332,-156.3721,52.0630
unlabeled,-0.2324,0.1371,0.7872,10.1318,-161.0107,58.8989
unlabeled,-0.2993,0.1053,0.7906,12.6343,-160.0952,60.1807
unlabeled,-0.3221,0.0647,0.7706,17.0288,-163.0249,60.4248
unlabeled,-0.3401,0.0315,0.7349,8.9111,-166.3818,64.9414
unlabeled,-0.3953,-0.0269,0.6572,6.1035,-165.5884,65.6738
unlabeled,-0.4299,-0.0175,0.6401,1.5869,-161.4380,61.2793
unlabeled,-0.4904,0.0702,0.5830,-2.1362,-159.9121,59.9976
unlabeled,-0.5206,0.1182,0.5326,-9.1553,-156.7383,65.7349
unlabeled,-0.5151,0.1888,0.4581,-13.1836,-154.7241,72.6318
unlabeled,-0.4764,-0.0640,0.3080,13.6719,-148.8647,82.5806
unlabeled,-0.5042,-0.2213,0.2249,47.3633,-117.8589,62.1948
unlabeled,-0.5831,-0.2086,0.2374,42.3584,-93.5669,43.7012
unlabeled,-0.5992,-0.1787,0.2725,9.1553,-54.5654,13.1226
