label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.1213,0.4315,0.7151,-149.4141,-0.6714,18.9819
unlabeled,0.1254,0.4821,0.6879,-187.1948,-2.3804,32.7759
unlabeled,0.1096,0.3359,0.6244,-339.2944,-20.3247,58.8989
unlabeled,0.0190,0.1713,0.4315,-433.7768,-32.3486,50.9644
unlabeled,-0.0244,0.2729,0.2659,-606.0791,-53.5889,28.9917
unlabeled,-0.0179,0.7596,0.0997,-649.7192,-59.8755,14.5874
unlabeled,0.0320,1.1201,0.1005,-637.2681,-58.5327,-3.5400
unlabeled,0.1078,1.8481,0.0510,-581.9702,-46.7529,-3.4790
unlabeled,0.1527,2.0690,0.1096,-342.6513,1.7090,-2.5635
unlabeled,0.2900,2.0164,0.3098,-187.8662,26.1841,-4.5166
unlabeled,0.1925,1.1715,0.0128,46.1426,20.9351,12.6953
unlabeled,0.0884,0.6489,-0.1965,106.9946,-1.4038,39.1846
unlabeled,0.0447,0.3772,-0.0822,225.5249,-11.4136,42.4194
unlabeled,0.1093,0.8383,0.0610,505.6152,41.6260,-80.4443
unlabeled,0.1331,1.6359,0.3748,718.5668,83.9844,-137.2681
unlabeled,0.2336,1.4280,0.7900,1193.5425,127.3193,-177.2461
unlabeled,0.6193,0.8774,1.8553,1388.4276,85.6934,-174.8657
unlabeled,0.6794,0.9818,1.5431,1374.8778,-47.5464,-5.6152
unlabeled,0.1696,1.3652,0.1187,1262.2681,-100.5249,3.6011
unlabeled,-0.2426,1.4553,-0.4745,874.6337,-163.4521,-129.0894
unlabeled,-0.6677,0.3636,-1.0588,619.9951,-162.7807,-94.8486
unlabeled,-0.5101,-0.6860,-0.8895,242.6147,-97.1069,102.7222
unlabeled,0.2789,-1.4611,0.1615,148.1934,-31.5552,151.1841
unlabeled,0.5320,-1.2583,0.9022,68.0542,75.3784,104.0039
unlabeled,0.6016,-0.9575,1.8459,67.0776,63.4155,70.8008
unlabeled,0.3628,-1.1746,0.8832,113.3423,-31.9214,72.3877
unlabeled,0.1757,-1.5127,0.4658,94.7876,-50.6592,42.7246
unlabeled,0.0946,-1.2747,0.4062,-16.6016,-29.4800,-48.2788
unlabeled,0.0887,-1.0784,0.5735,-184.0210,-21.3623,-55.1758
unlabeled,0.0670,-0.9813,0.6113,-277.1606,-26.1230,-43.6401
unlabeled,0.0862,-0.9504,0.5621,-461.5478,-30.1514,-31.9214
unlabeled,0.0717,-0.7791,0.5120,-553.4058,-32.5317,-33.7524
unlabeled,0.0377,-0.6221,0.4410,-739.3188,-44.9219,-46.3257
unlabeled,-0.1002,-0.2833,0.2219,-822.7538,-54.9927,-51.2085
unlabeled,-0.1803,-0.0712,0.2063,-972.5952,-81.0547,-46.9360
unlabeled,-0.1464,0.2131,0.1005,-1023.7426,-96.1914,-54.0161
unlabeled,-0.0200,0.4467,-0.0232,-1023.9868,-107.6660,-120.2393
unlabeled,0.2079,0.8557,-0.1185,-1011.6577,-103.0273,-119.5679
unlabeled,0.1095,1.5355,0.0051,-866.9433,-96.0693,-82.7637
unlabeled,0.1431,2.0958,0.2423,-400.8178,-68.6646,-94.4214
unlabeled,0.3622,2.9336,0.0724,-132.9346,-55.4199,-87.5244
unlabeled,0.2350,2.4612,-0.5142,154.5410,-49.3164,47.1191
unlabeled,-0.1810,0.5271,-0.8424,149.6582,-41.1987,115.5395
unlabeled,-0.1541,0.2841,-0.4202,7.6904,11.8408,95.2148
unlabeled,0.0192,0.7860,0.2377,-25.5127,36.8042,45.7764
unlabeled,0.0328,0.9674,0.2349,59.5703,59.3262,-14.8926
unlabeled,-0.0453,1.2706,0.1016,142.7612,66.2231,-21.6675
unlabeled,-0.0165,1.5012,0.0778,369.1406,74.5239,6.2256
unlabeled,0.1470,1.5284,0.1106,521.2402,87.2803,23.6816
unlabeled,0.2539,1.4283,0.2996,910.1562,105.8960,31.1279
unlabeled,0.4934,1.1968,0.5322,1104.5532,93.5669,28.9307
unlabeled,0.4746,1.0970,0.5809,1298.1566,24.9634,43.4570
unlabeled,0.2490,0.5929,0.2106,1219.9707,-14.1602,94.2383
unlabeled,-0.1528,-1.6221,0.1581,769.5922,-29.1138,199.2798
unlabeled,-0.0115,-2.1974,0.6650,387.8174,7.7515,168.2739
