label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.0265,0.2367,0.9009,-14.8315,6.4087,-14.2822
unlabeled,0.1016,0.3601,0.9730,-15.7471,9.4604,-11.5967
unlabeled,0.1447,0.3632,1.0398,-15.9912,12.0850,-0.4272
unlabeled,0.1853,0.3275,1.1080,-15.6860,9.9487,3.1128
unlabeled,0.1886,0.3473,1.0378,-15.0146,2.9297,5.6152
unlabeled,0.1758,0.3282,1.0331,-11.4746,-0.8545,10.4370
unlabeled,0.1493,0.2792,0.9746,-10.6201,-3.1128,11.5356
unlabeled,0.1473,0.2583,0.9061,-6.9580,-4.0894,11.4136
unlabeled,0.1740,0.2236,0.8730,-5.2490,-1.8311,10.2539
unlabeled,0.2086,0.2490,0.9172,-9.8877,1.7090,6.5918
unlabeled,0.2593,0.2975,0.9816,-11.8408,1.2817,7.0190
unlabeled,0.1714,0.3467,1.0017,-10.6201,-2.2583,7.3242
unlabeled,0.0199,0.4323,0.9933,-2.5024,-1.3428,4.4556
unlabeled,-0.8081,0.7928,1.1261,7.5684,5.1880,4.3945
unlabeled,-1.5837,1.0414,1.2668,34.4849,36.8042,46.4478
unlabeled,-3.3430,0.3516,1.2129,46.6919,64.5752,100.2808
unlabeled,-3.7827,-0.8306,0.8762,108.5205,101.9897,179.3213
unlabeled,-3.4147,-3.6108,0.1268,151.0010,106.2012,129.8828
unlabeled,0.4587,-2.8702,-0.5253,113.5864,109.6802,-181.5185
unlabeled,3.1720,-0.4202,-0.3303,29.4800,32.7148,-555.3589
unlabeled,4.0000,3.9298,2.9889,20.3857,37.7197,-558.4106
unlabeled,4.0000,3.6204,3.9999,-110.2295,95.3369,41.3208
unlabeled,3.1359,0.8625,1.8528,-165.4053,-48.4009,382.9345
unlabeled,1.3402,-0.6073,-1.5817,50.9033,-298.5840,522.7051
unlabeled,-1.8595,-2.3573,-4.0000,131.6528,-203.2471,317.3828
unlabeled,-1.6816,-0.7488,-0.0358,-117.8589,114.5019,-22.5830
unlabeled,-1.1685,0.1121,1.6488,-118.8965,66.5283,-44.6167
unlabeled,-0.6617,-0.3009,2.0675,-24.8413,-15.1978,-24.9023
unlabeled,-0.6079,-0.5968,1.5404,64.9414,-91.9189,-48.0347
unlabeled,-0.5021,0.0372,0.8171,49.1333,-94.1162,-76.2329
unlabeled,-0.1748,0.4677,1.0391,8.1787,-67.9321,-77.3315
unlabeled,0.0049,0.4121,1.3326,-15.0757,-53.7109,-30.5176
unlabeled,0.2494,0.3530,1.5946,-32.4707,-66.4063,-14.7705
unlabeled,0.2825,0.3716,1.4987,-61.8896,-73.6084,-6.4697
unlabeled,0.2201,0.3591,1.2063,-56.4575,-65.6128,-8.7280
unlabeled,0.1680,0.3118,1.0977,-38.9404,-61.7676,-3.9062
unlabeled,0.0465,0.1873,1.0237,-36.8652,-63.7817,2.0752
unlabeled,-0.0918,0.2142,1.0605,-39.3066,-53.2227,7.5073
unlabeled,-0.1886,0.2477,1.0743,-43.0908,-42.1143,2.8076
unlabeled,-0.4857,0.4061,1.0522,-41.9311,-37.4146,-2.2583
unlabeled,-0.7521,0.5336,1.0638,-30.0903,-14.5874,-15.1978
unlabeled,-1.6921,0.8741,1.2267,-17.0288,6.9580,-19.7144
unlabeled,-2.5396,0.6379,1.6947,3.4180,82.7026,-4.5776
unlabeled,-2.7465,0.0355,1.7935,0.0610,155.3955,83.3740
unlabeled,-2.6624,-1.0906,1.5190,37.8418,205.3223,115.5395
unlabeled,-2.2369,-1.3083,1.2092,163.1470,216.7969,19.4702
unlabeled,-0.6173,-0.9214,-0.9086,170.3491,74.5850,-58.4717
unlabeled,0.8438,-0.6316,-2.2781,150.2075,-58.2886,-213.1348
unlabeled,4.0000,1.4175,-2.3900,80.8105,2.5635,-279.4800
unlabeled,4.0000,3.2394,2.5449,-170.7764,252.1973,-164.3066
unlabeled,3.8416,2.5511,3.9999,-73.3643,114.9902,207.7026
unlabeled,1.4027,-0.1257,1.1947,57.6782,-120.6055,310.3027
unlabeled,-0.2100,-0.4921,-1.7985,128.2349,-233.2153,230.9570
unlabeled,-1.7689,-1.0424,-1.4766,80.6885,-74.9512,158.9355
unlabeled,-1.6130,-1.2982,0.8263,-19.7754,80.8105,53.8330
unlabeled,-0.9281,-0.9730,2.9645,-10.1318,1.9531,27.9541
unlabeled,-0.6376,-0.9329,2.4062,44.6777,-100.8301,-0.9766
unlabeled,-0.5734,-0.6764,1.9684,-30.7617,-54.6265,-75.5615
unlabeled,-0.4476,0.2128,0.8975,-64.5752,-43.0908,-96.0693
unlabeled,-0.3248,0.4272,0.5128,-91.8579,7.1411,-87.6465
unlabeled,0.0494,0.5112,0.3894,-98.0835,32.1655,-74.9512
unlabeled,0.4349,0.8032,0.8427,-101.9897,49.0723,-39.2456
unlabeled,0.5466,0.8303,0.9546,-40.7715,12.5732,-0.7324
unlabeled,0.5586,0.6719,0.8828,-14.5874,-3.9062,10.3760
unlabeled,0.4867,0.5752,0.8306,7.7515,-20.3247,20.2637
unlabeled,0.3065,0.3810,0.8038,14.1602,-24.3530,26.3062
unlabeled,0.2451,0.2666,0.8513,24.1089,-29.1138,36.8652
unlabeled,0.1631,0.0885,0.9420,25.6348,-29.9683,36.1938
unlabeled,0.1045,0.0426,1.0129,21.6675,-26.0010,24.2310
unlabeled,-0.0737,0.1974,1.2568,15.0146,-22.5830,15.3198
unlabeled,-0.4037,0.4382,1.3809,11.4746,-19.6533,8.6060
unlabeled,-0.6158,0.4989,1.3772,10.8032,4.2725,13.8550
unlabeled,-1.2283,0.5262,1.4805,5.3101,26.7334,17.3340
unlabeled,-1.6307,0.4572,1.5294,1.0986,64.0869,48.4009
unlabeled,-2.5026,-0.3093,1.1239,27.7710,68.6035,79.2847
unlabeled,-2.8136,-0.9397,0.6785,105.2246,49.4995,86.1816
unlabeled,-2.7395,-1.6252,-0.5791,122.8638,49.0112,32.6538
unlabeled,-0.6609,-0.5623,-1.5481,111.5112,85.8154,-111.7554
unlabeled,1.4884,0.4542,-1.3699,21.3623,156.7383,-183.0444
unlabeled,4.0000,2.2860,1.4600,-37.4146,181.5185,-161.6821
unlabeled,4.0000,2.4485,3.2588,-107.5439,146.4233,34.1187
unlabeled,3.6180,0.5928,3.5189,-44.8608,16.3574,151.7944
unlabeled,2.3458,-0.3105,1.0333,74.4019,-266.4795,230.8349
unlabeled,-1.1628,-0.1991,-3.3557,48.4009,-237.1826,202.8198
unlabeled,-1.5430,-0.9662,-0.5448,-46.6919,29.3579,102.4170
unlabeled,-1.0704,-1.1246,1.1204,-76.7212,3.7231,-32.4707
unlabeled,-0.6660,-0.2021,2.0056,-56.0303,-99.5483,-78.7964
unlabeled,-0.7062,0.2533,1.6703,-37.8418,-210.0220,-88.1348
unlabeled,-0.8770,0.4161,0.9976,-17.3950,-175.1098,-70.2515
unlabeled,-0.8199,0.2906,0.9028,12.3901,-99.1211,-42.0532
unlabeled,-0.4700,0.1366,1.0659,8.2397,-78.2471,-37.5366
unlabeled,-0.0455,0.3104,1.5469,-13.9160,-38.5132,-44.4946
unlabeled,0.1045,0.4460,1.7013,-41.0156,-14.2822,-49.4995
