label,aX,aY,aZ,gX,gY,gZ
unlabeled,-0.0001,-0.0067,0.9934,0.3662,-0.0610,0.1221
unlabeled,0.0021,-0.0065,0.9949,0.2441,-0.0610,0.1831
unlabeled,0.0027,-0.0062,0.9940,0.0610,0.0000,0.1221
unlabeled,0.0018,-0.0078,0.9955,0.3662,0.0610,0.0610
unlabeled,-0.0006,-0.0100,0.9929,0.4272,0.1221,0.1221
unlabeled,0.0011,-0.0085,0.9943,0.3662,0.0000,0.1831
unlabeled,0.0024,-0.0042,0.9941,0.3662,-0.0610,0.1221
unlabeled,0.0026,-0.0039,0.9937,0.3662,0.0000,0.1831
unlabeled,0.0007,-0.0065,0.9923,0.2441,0.0610,0.1221
unlabeled,0.0004,-0.0090,0.9940,0.0610,0.0610,0.0610
unlabeled,0.0012,-0.0087,0.9943,0.3052,0.0000,0.1221
unlabeled,0.0035,-0.0059,0.9944,0.3662,0.0610,0.1221
unlabeled,0.0043,-0.0054,0.9950,0.1831,0.0000,0.1221
unlabeled,0.0024,-0.0057,0.9934,0.2441,-0.0610,0.1221
unlabeled,0.0007,-0.0071,0.9940,0.3052,-0.0610,0.1831
unlabeled,-0.0009,-0.0076,0.9941,0.1831,-0.0610,0.1831
unlabeled,0.0006,-0.0070,0.9941,0.3052,-0.0610,0.1221
unlabeled,0.0016,-0.0061,0.9938,0.4883,0.0610,0.0610
unlabeled,0.0013,-0.0057,0.9935,0.6714,0.0000,0.0610
unlabeled,0.0015,-0.0072,0.9941,0.6714,0.0000,0.1221
unlabeled,0.0018,-0.0094,0.9956,0.4883,0.0610,0.1831
unlabeled,0.0023,-0.0085,0.9948,0.1221,0.0000,0.1831
unlabeled,0.0022,-0.0073,0.9937,0.0000,0.0000,0.1831
unlabeled,0.0013,-0.0074,0.9932,0.0000,-0.1221,0.1221
unlabeled,0.0011,-0.0077,0.9935,0.1221,-0.0610,0.1221
unlabeled,0.0017,-0.0072,0.9934,0.0000,0.0000,0.1831
unlabeled,0.0016,-0.0063,0.9932,-0.3052,0.0000,0.1221
unlabeled,0.0015,-0.0056,0.9938,-0.4272,0.0000,0.1221
unlabeled,0.0022,-0.0056,0.9941,0.1221,-0.1221,0.1221
unlabeled,0.0028,-0.0068,0.9939,0.6104,-0.0610,0.1221
unlabeled,0.0026,-0.0071,0.9938,0.9155,0.0000,0.1221
unlabeled,0.0027,-0.0078,0.9945,0.6714,-0.0610,0.0610
unlabeled,0.0016,-0.0062,0.9943,0.0000,-0.1221,0.1221
unlabeled,0.0006,-0.0063,0.9935,0.0610,-0.0610,0.2441
unlabeled,-0.0005,-0.0076,0.9935,0.3052,-0.0610,0.1831
unlabeled,0.0002,-0.0078,0.9939,0.7935,-0.0610,0.1221
unlabeled,0.0034,-0.0067,0.9939,0.6714,-0.0610,0.0610
unlabeled,0.0035,-0.0066,0.9946,0.1831,-0.0610,0.0610
unlabeled,0.0015,-0.0078,0.9935,0.0000,-0.0610,0.1221
unlabeled,0.0006,-0.0083,0.9923,0.0610,-0.1221,0.0610
