label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.0024,-0.0035,0.9922,-0.1221,0.0610,0.1831
unlabeled,0.0026,-0.0046,0.9926,-0.1221,0.0610,0.1221
unlabeled,0.0034,-0.0048,0.9937,-0.5493,-0.1221,0.1831
unlabeled,0.0048,-0.0040,0.9945,-0.8545,-0.2441,0.2441
unlabeled,0.0043,-0.0040,0.9946,-1.4648,-0.3662,0.3662
unlabeled,0.0046,-0.0034,0.9951,-1.6479,-0.3052,0.4272
unlabeled,0.0035,-0.0028,0.9937,-1.8921,0.0610,0.2441
unlabeled,0.0028,-0.0004,0.9940,-1.7700,0.0610,0.1221
unlabeled,0.0037,0.0006,0.9940,-0.6714,-0.0610,-0.0610
unlabeled,0.0043,-0.0024,0.9926,-0.1221,-0.1221,-0.1831
unlabeled,0.0033,-0.0011,0.9939,0.1831,-0.1831,-0.0610
unlabeled,0.0033,-0.0022,0.9938,0.7935,-0.0610,0.1221
unlabeled,0.0027,-0.0005,0.9933,0.6104,0.0000,0.1221
unlabeled,0.0023,-0.0002,0.9929,0.6714,-0.1221,0.1221
unlabeled,0.0037,-0.0013,0.9930,0.8545,-0.1221,0.1221
unlabeled,0.0039,-0.0022,0.9933,0.7935,-0.1831,0.0610
unlabeled,0.0034,-0.0029,0.9941,0.7324,-0.2441,0.0000
unlabeled,0.0046,-0.0018,0.9944,0.4883,-0.3052,0.0000
unlabeled,0.0042,-0.0011,0.9938,0.7935,-0.1221,0.0000
unlabeled,0.0028,-0.0018,0.9946,0.9766,0.0000,0.0000
unlabeled,0.0021,-0.0027,0.9950,0.8545,0.0000,0.0610
unlabeled,0.0026,-0.0035,0.9939,0.4883,-0.0610,0.0610
unlabeled,0.0028,-0.0026,0.9934,-0.0610,-0.1221,0.0000
unlabeled,0.0022,-0.0023,0.9939,-0.1831,-0.1221,0.0000
unlabeled,0.0039,-0.0021,0.9929,-0.1831,-0.0610,0.0610
unlabeled,0.0038,-0.0021,0.9930,0.0610,0.0000,0.0610
unlabeled,0.0038,-0.0024,0.9928,0.1221,0.0610,0.1221
unlabeled,0.0043,-0.0023,0.9937,0.1831,0.0610,0.1831
unlabeled,0.0031,-0.0032,0.9937,0.0000,0.0000,0.1831
unlabeled,0.0021,-0.0026,0.9938,-0.2441,-0.1831,0.2441
unlabeled,0.0023,-0.0020,0.9932,-0.4272,-0.1831,0.2441
unlabeled,0.0027,-0.0002,0.9939,-0.3052,-0.1221,0.1831
unlabeled,0.0028,-0.0004,0.9946,0.6714,-0.0610,-0.0610
unlabeled,0.0021,-0.0004,0.9926,1.0986,-0.0610,-0.1221
unlabeled,0.0035,-0.0015,0.9938,1.4038,0.1221,-0.1831
unlabeled,0.0032,-0.0042,0.9921,1.4038,0.1831,-0.1221
unlabeled,0.0039,-0.0055,0.9946,1.5259,0.2441,0.0610
unlabeled,0.0039,-0.0059,0.9927,0.1831,0.0000,0.1221
unlabeled,0.0038,-0.0023,0.9939,-0.1221,-0.1221,0.2441
unlabeled,0.0034,-0.0021,0.9934,-0.1221,-0.1221,0.3052
unlabeled,0.0029,-0.0022,0.9930,-0.0610,-0.0610,0.2441
unlabeled,0.0035,-0.0059,0.9932,-0.0610,0.0000,0.1221
unlabeled,0.0040,-0.0066,0.9937,-1.2207,-0.3052,0.1831
unlabeled,0.0035,-0.0012,0.9938,-2.0142,-0.5493,0.2441
unlabeled,0.0033,0.0000,0.9930,-2.1362,-0.6104,0.1831
unlabeled,0.0021,0.0006,0.9924,-1.8311,-0.6714,0.1221
unlabeled,0.0013,0.0024,0.9928,-0.4272,-0.6714,0.0610
unlabeled,0.0004,0.0007,0.9946,0.5493,-0.6714,0.0000
unlabeled,0.0012,-0.0006,0.9939,1.0986,-0.0610,0.0000
unlabeled,0.0040,-0.0012,0.9941,0.7935,0.0610,0.0610
unlabeled,0.0026,-0.0021,0.9927,0.1221,-0.0610,0.1831
unlabeled,0.0029,-0.0023,0.9930,-0.3052,-0.1831,0.2441
unlabeled,0.0037,-0.0009,0.9943,-0.4272,-0.1831,0.1831
unlabeled,0.0031,-0.0002,0.9950,-0.4272,-0.1831,0.2441
unlabeled,0.0012,0.0022,0.9935,-0.3052,-0.1221,0.2441
unlabeled,0.0006,0.0021,0.9938,0.3052,-0.0610,0.2441
unlabeled,0.0006,0.0000,0.9922,0.6104,-0.1221,0.1831
unlabeled,0.0024,0.0006,0.9926,0.9766,0.0610,-0.0610
unlabeled,0.0020,-0.0002,0.9929,1.4038,0.0610,-0.1221
unlabeled,0.0029,-0.0017,0.9934,1.5259,0.0000,-0.1221
unlabeled,0.0029,-0.0018,0.9932,0.7324,-0.1221,0.0610
unlabeled,0.0024,-0.0017,0.9928,0.6104,-0.2441,0.0610
unlabeled,0.0026,-0.0027,0.9940,0.0000,-0.3052,0.0000
unlabeled,0.0022,-0.0004,0.9941,-0.6714,-0.3052,0.0610
unlabeled,0.0017,0.0004,0.9932,-0.8545,-0.3052,0.2441
unlabeled,0.0011,0.0001,0.9935,-0.5493,-0.2441,0.1831
unlabeled,0.0020,-0.0007,0.9934,-0.4272,-0.1831,0.2441
