label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.0321,-0.0088,1.0260,-10.9253,-3.0518,-17.8223
unlabeled,0.0382,0.0455,1.0364,-11.7798,-2.9907,-20.4468
unlabeled,0.0393,0.1294,1.0366,-8.9111,-4.2114,-19.1040
unlabeled,0.0334,0.1642,1.0125,-7.0801,-4.4556,-18.0054
unlabeled,0.0303,0.1650,0.9991,-6.4697,-3.3569,-14.6484
unlabeled,0.0228,0.1444,0.9895,-6.8970,-2.0142,-13.3667
unlabeled,0.0227,0.1653,0.9943,-7.8125,-0.8545,-11.9019
unlabeled,0.0121,0.1371,0.9948,-5.1880,-0.4272,-8.9111
unlabeled,-0.0040,0.1318,0.9690,-5.1880,-1.5869,-10.0098
unlabeled,0.0023,0.1848,0.9521,-10.1929,-1.5869,-12.5732
unlabeled,0.0143,0.3014,0.9261,-13.5498,1.0986,-9.7656
unlabeled,0.0016,0.2550,0.9548,-13.2446,5.7373,-0.1831
unlabeled,0.0018,0.2081,0.9797,-13.1226,3.1128,-1.2817
unlabeled,0.0216,0.2096,0.9644,-9.2773,-1.7090,-4.9438
unlabeled,0.0193,0.1707,0.9661,-5.3101,-1.4038,-4.2114
unlabeled,0.0140,0.1367,0.9480,-3.7231,-2.2583,-4.9438
unlabeled,0.0117,0.1228,0.9352,0.1221,-1.9531,-3.6011
unlabeled,0.0117,0.0635,0.9220,2.0142,-0.9155,-1.9531
unlabeled,0.0139,-0.0819,0.9290,4.6387,1.3428,2.4414
unlabeled,0.0179,-0.1835,0.9399,2.9297,2.1362,1.5259
unlabeled,0.0040,-0.2826,0.9717,1.0376,1.6479,-2.6855
unlabeled,-0.0248,-0.2294,0.9835,-1.4648,0.2441,-15.2588
unlabeled,-0.0265,-0.1635,0.9816,-0.0610,0.1831,-28.9917
unlabeled,-0.0027,-0.0101,0.9702,1.8921,1.3428,-32.6538
unlabeled,0.0159,0.0657,0.9620,3.8452,5.4932,-30.2734
unlabeled,0.0936,0.3267,0.9154,0.0000,10.1318,-23.3765
unlabeled,0.0356,0.0470,1.0836,1.2207,22.7051,5.4321
unlabeled,0.0155,-0.0615,1.1403,2.1973,19.2261,7.2632
unlabeled,0.0585,0.2517,1.0616,6.1646,0.1831,-25.0244
unlabeled,0.0582,0.3329,1.0266,12.2070,0.0610,-29.2969
unlabeled,0.0322,0.2971,0.9663,11.0474,0.3662,-22.8882
unlabeled,0.0338,0.2942,0.9373,11.1694,5.6152,1.4648
unlabeled,0.0646,0.1862,0.9618,11.5356,9.5825,8.4839
unlabeled,0.0599,0.0778,1.0035,10.9253,12.6343,6.0425
unlabeled,0.0323,-0.1031,1.0643,4.1504,10.1318,0.6104
unlabeled,0.0382,-0.0312,1.0482,-7.6904,1.0986,-17.3950
unlabeled,0.0399,0.2227,1.0155,-8.5449,-1.0376,-22.7051
