label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.1819,-0.0515,-0.6548,-2.2583,26.0010,20.1416
unlabeled,0.1875,-0.1184,-0.8569,-8.7891,27.9541,40.8936
unlabeled,0.2034,-0.3170,-1.0516,-16.8457,35.3394,50.0488
unlabeled,0.1879,-0.3434,-0.9788,-51.6357,61.5845,33.9966
unlabeled,0.1194,-0.0536,-0.3091,-70.9839,79.9561,7.3853
unlabeled,0.0802,0.2583,0.2396,-38.3301,126.9531,-38.3911
unlabeled,0.0857,0.9050,2.1266,41.3818,103.8208,10.9253
unlabeled,0.0034,-0.0038,3.0269,55.2368,-76.0498,54.2603
unlabeled,0.0219,0.0635,3.0166,-50.9644,-341.7358,22.7051
unlabeled,-0.3960,0.1213,2.4623,-134.1553,-462.0361,41.6260
unlabeled,-0.8068,0.2627,2.3456,-221.9848,-350.4028,68.0542
unlabeled,-1.2399,0.4166,2.3295,-139.0991,-216.3086,57.8003
unlabeled,-1.0673,0.5093,2.1606,5.0659,-42.9077,36.3770
unlabeled,-0.9595,0.4893,1.8779,116.3940,72.1436,34.7290
unlabeled,-0.7343,0.3503,1.6936,157.8369,112.4878,20.0195
unlabeled,-0.5891,0.3867,1.7644,175.9643,152.4658,-10.1929
unlabeled,-0.4586,0.4056,1.7477,154.9072,121.2158,-13.8550
unlabeled,-0.3799,0.2828,1.4961,73.6694,-16.6016,3.7842
unlabeled,-0.3445,0.2612,1.4260,39.3677,-43.3960,5.3101
unlabeled,-0.2512,0.2543,1.1794,61.8896,-24.4141,-1.7090
unlabeled,-0.2181,0.2861,1.0530,77.2705,7.7515,7.5684
unlabeled,-0.0963,0.1653,0.8369,67.5659,10.0098,27.4658
unlabeled,-0.0188,0.0221,0.6949,39.9170,13.4277,47.3633
unlabeled,-0.0470,-0.0677,0.6802,33.4473,26.3672,41.6870
unlabeled,-0.0349,-0.1389,0.6031,39.3677,53.6499,14.5264
unlabeled,0.0001,-0.1414,0.5247,15.5029,81.9092,-14.9536
unlabeled,0.0062,-0.0404,0.5374,4.9438,105.7129,-27.7100
unlabeled,-0.0205,0.0065,0.6440,13.4277,149.5361,-39.3677
unlabeled,-0.0010,0.0216,0.7587,20.8130,156.7383,-40.4663
unlabeled,0.0876,-0.0372,0.6552,12.5732,138.2446,-39.1846
unlabeled,0.0988,-0.0479,0.5060,-28.3813,102.1728,-37.4146
unlabeled,0.0364,-0.0383,0.4572,-39.6118,96.8628,-35.8887
unlabeled,0.0278,-0.0637,0.5302,-23.3154,108.2153,-38.3911
unlabeled,0.0680,-0.0710,0.7681,-9.4604,116.8823,-44.9219
unlabeled,0.0803,-0.0485,0.8693,19.6533,113.8306,-56.9458
unlabeled,0.1285,-0.0798,0.7100,-5.3711,64.5142,-54.9927
unlabeled,0.1353,-0.0758,0.4856,-30.2734,40.0391,-52.7344
unlabeled,0.1201,-0.0535,0.3955,-53.7720,13.3667,-47.6685
unlabeled,0.0836,-0.0415,0.2515,-59.0820,6.5308,-45.5933
unlabeled,0.0763,-0.0804,0.1962,-66.6504,1.7090,-45.4102
unlabeled,0.0284,-0.1089,0.1549,-69.0918,-2.3804,-45.4712
unlabeled,-0.0608,0.0442,-0.0048,-96.6797,-30.4565,-40.2832
unlabeled,-0.1028,0.1013,-0.0858,-106.3843,-48.2788,-19.6533
unlabeled,-0.1642,0.2482,-0.0469,-70.5566,-34.3628,-10.9863
unlabeled,-0.1660,0.3898,0.0110,-13.0005,1.4038,0.1831
unlabeled,0.0177,0.4927,0.2534,-26.0620,7.0190,10.5591
unlabeled,0.2788,0.5167,1.2584,-101.9897,-41.5649,72.1436
unlabeled,0.3977,0.1392,1.6467,-195.8008,-142.0898,81.7871
unlabeled,0.6609,-0.1569,2.3383,-158.7524,-154.3579,59.8755
unlabeled,0.5398,-0.0137,2.7094,131.2256,-45.9595,24.4751
unlabeled,-0.0189,0.2521,3.0337,246.2768,8.7891,10.8032
unlabeled,-0.1876,0.2571,2.8608,168.6401,-31.1890,-2.1973
unlabeled,-0.2140,0.2260,2.3234,45.8984,-84.1064,-5.1270
unlabeled,-0.1608,-0.0248,2.1221,-75.9888,-109.8633,-6.3477
unlabeled,-0.2263,0.0520,1.9768,-33.4473,-18.6768,-15.5640
unlabeled,-0.3572,0.5146,1.8121,11.9629,31.7993,-20.4468
unlabeled,-0.3375,0.5309,1.7495,77.2095,29.9072,-11.4136
unlabeled,-0.1176,0.2778,1.5347,68.4814,2.6855,-0.3662
unlabeled,0.0427,0.1561,1.3876,10.3760,-20.9351,12.0850
unlabeled,0.0138,0.2063,1.2831,-5.3101,-23.2544,13.9770
unlabeled,-0.0706,0.3059,1.1008,15.1978,-15.7471,23.7427
unlabeled,-0.0831,0.2849,1.0272,88.3179,16.1743,30.0293
unlabeled,-0.0265,0.2223,1.0201,114.9292,29.6631,24.8413
unlabeled,0.0001,0.1892,1.0128,99.1821,15.2588,13.1226
unlabeled,0.0532,0.1293,0.4615,57.9834,-7.9956,9.7656
unlabeled,0.0249,-0.0079,-0.0725,10.4370,1.0986,23.1323
unlabeled,-0.0463,-0.0563,0.0942,73.4863,98.0225,16.0522
unlabeled,-0.0527,-0.0342,0.6443,92.1631,127.3804,-2.3804
unlabeled,0.0508,-0.0432,0.7179,60.8520,114.8071,-35.2783
unlabeled,0.1425,-0.1154,0.5889,38.0859,101.0132,-39.9170
unlabeled,0.0968,-0.0442,0.5461,34.0576,99.0601,-38.2690
unlabeled,0.0933,0.0104,0.7021,55.9692,102.3559,-25.4517
unlabeled,0.1698,-0.0518,0.7157,67.1997,98.2666,-18.4937
unlabeled,0.1702,-0.0990,0.5240,46.6919,64.2700,-11.7798
unlabeled,0.0732,-0.0432,0.4279,24.1089,52.6733,-7.8735
unlabeled,0.0588,-0.0459,0.4933,10.4370,63.8428,-1.4038
unlabeled,0.1792,-0.0598,0.6887,14.3433,67.9321,0.5493
unlabeled,0.2354,-0.0865,0.5846,26.6724,51.8188,8.3008
unlabeled,0.2178,-0.1890,0.4332,21.5454,28.4424,18.1274
unlabeled,0.1628,-0.2917,0.1152,5.7373,17.2729,15.9912
unlabeled,0.1049,-0.2227,-0.0687,-35.3394,-0.7935,9.7656
unlabeled,0.0052,-0.1267,-0.2500,-45.6543,2.5024,11.1694
unlabeled,0.0018,-0.1371,-0.2776,-59.0210,20.4468,12.7563
unlabeled,0.0580,-0.1603,-0.1578,-68.1152,28.0151,10.1318
unlabeled,0.0919,-0.1487,-0.0350,-81.4819,29.2969,2.1362
unlabeled,0.1252,-0.0438,0.1765,-90.5762,19.3481,-2.6855
unlabeled,0.1577,0.1873,0.3010,-95.7642,7.5073,-14.4653
unlabeled,0.2101,0.2516,0.4120,-93.5669,18.7378,-6.7139
unlabeled,0.4199,0.2452,0.7994,-116.3330,17.2729,3.6621
unlabeled,0.5341,0.1892,1.0675,-161.7431,-3.3569,34.5459
unlabeled,0.7273,0.3834,1.7450,-144.9585,-32.1045,79.5898
unlabeled,0.7452,-0.0466,2.0995,-99.1821,-90.3320,98.1445
unlabeled,0.7603,-0.1920,2.6964,-73.8525,-93.5669,52.2461
unlabeled,0.4733,0.0964,2.5518,2.1973,-92.1631,-8.9111
unlabeled,0.2729,0.2051,2.3263,4.8218,-99.6094,-24.7192
unlabeled,-0.0326,0.4573,2.3011,6.6528,-93.5059,-24.7192
unlabeled,-0.0911,0.5001,2.3956,28.1372,-81.7261,-22.3389
unlabeled,-0.0529,0.4111,2.2438,14.0381,-92.1020,-17.0288
unlabeled,-0.0277,0.2640,1.7819,-23.2544,-98.9990,-9.4604
unlabeled,-0.0911,0.2778,1.7054,31.7993,-47.4243,-10.1929
unlabeled,-0.1978,0.3575,1.7236,58.5327,-19.7144,-14.0381
unlabeled,-0.1583,0.3282,1.7717,55.2368,-3.5400,-10.6201
unlabeled,-0.0122,0.1943,1.9106,46.8140,-13.8550,1.2207
unlabeled,0.0228,0.1771,1.8105,49.7436,-46.3867,21.9727
unlabeled,0.0155,0.2577,1.2638,56.3965,-61.2183,31.0669
unlabeled,-0.0338,0.1069,0.5889,80.0171,-63.9648,57.8003
unlabeled,-0.0587,0.0621,0.3317,78.0640,-32.4097,73.7305
unlabeled,-0.1105,-0.0444,0.0807,72.2656,-9.8877,76.2939
unlabeled,-0.1453,-0.1069,-0.0505,49.6216,30.8838,51.9409
unlabeled,-0.1010,0.0242,-0.0758,42.5415,54.9316,28.6255
unlabeled,0.0695,0.0684,0.1401,56.5796,113.7085,-1.2207
unlabeled,0.1853,0.0107,0.3546,56.2134,133.9722,-7.9346
unlabeled,0.3392,0.0177,0.5527,34.4849,116.9434,-9.3384
unlabeled,0.3596,0.0455,0.5184,-22.2168,61.1572,3.2959
unlabeled,0.3849,0.0129,0.4839,-35.4004,44.7388,14.6484
unlabeled,0.3959,-0.0931,0.5436,-19.3481,45.5322,16.0522
unlabeled,0.3804,-0.1835,0.6576,-6.4087,47.3022,-1.7090
unlabeled,0.2971,0.0416,0.5632,7.5684,30.7617,-35.4614
unlabeled,0.2112,0.0819,0.3885,6.1035,0.4272,-31.8603
