label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.0050,0.1646,0.9780,3.8452,1.0376,4.6387
unlabeled,0.0028,0.1449,0.9729,5.4932,1.7090,7.0801
unlabeled,0.0050,0.0781,0.9860,2.7466,0.9766,8.4229
unlabeled,0.0050,0.0917,0.9945,-3.9673,-0.9766,2.5024
unlabeled,-0.0015,0.1343,0.9847,-2.1362,-0.6714,1.3428
unlabeled,0.0018,0.1345,0.9746,-0.4883,0.8545,4.8218
unlabeled,0.0090,0.1062,0.9827,2.4414,3.1128,8.2397
unlabeled,0.0188,-0.0065,1.0396,3.2959,3.1128,6.3477
unlabeled,0.0094,-0.0579,1.0913,2.3193,-0.5493,-5.1270
unlabeled,-0.0260,-0.1746,1.1914,1.4038,-3.6621,-11.4136
unlabeled,-0.0325,-0.2172,1.2096,-5.0049,-11.1694,-21.4844
unlabeled,-0.0378,-0.2631,1.2285,-11.4136,-14.0381,-24.9023
unlabeled,-0.0651,-0.3756,1.2566,-9.8877,-17.8833,-31.3110
unlabeled,-0.0748,-0.4584,1.2528,-7.5684,-26.3672,-41.3208
unlabeled,-0.0745,-0.5426,1.1783,-5.1880,-32.0435,-46.9971
unlabeled,-0.0746,-0.5228,1.1200,-34.1187,-42.4194,-49.3164
unlabeled,-0.0869,-0.3444,1.0168,-66.2231,-45.2881,-53.5278
unlabeled,-0.0824,-0.2354,0.9951,-78.0029,-42.5415,-75.9888
unlabeled,-0.0396,-0.0526,0.9672,-69.5190,-38.2690,-84.7778
unlabeled,-0.0004,0.1199,0.9379,-64.5752,-30.7007,-90.6372
unlabeled,0.0149,0.1993,0.9225,-51.3916,-28.8086,-97.1680
unlabeled,0.0444,0.3528,0.9023,-42.6636,-29.1138,-99.9145
unlabeled,0.0583,0.4012,0.9021,-26.2451,-28.8696,-95.2148
unlabeled,0.0983,0.3761,0.9242,-22.8271,-28.6255,-89.4775
unlabeled,0.1184,0.4297,0.8857,-32.3486,-32.8979,-83.0688
unlabeled,0.1135,0.4982,0.8431,-29.5410,-39.7339,-82.4585
unlabeled,0.1019,0.6165,0.7485,-20.5078,-41.7480,-82.7026
unlabeled,0.1000,0.6536,0.7054,-5.0659,-40.3442,-80.3833
unlabeled,0.0911,0.7333,0.6481,-3.2959,-36.6821,-75.3784
unlabeled,0.0862,0.7610,0.6392,-3.9673,-25.7568,-57.4951
unlabeled,0.0813,0.7634,0.6488,-4.6387,-20.3247,-47.6685
unlabeled,0.0728,0.7634,0.6442,-6.3477,-13.7939,-31.3721
unlabeled,0.0647,0.7756,0.6249,-5.0659,-10.1318,-17.3340
unlabeled,0.0568,0.7844,0.5685,-3.6621,-6.3477,-10.2539
unlabeled,0.0577,0.7773,0.5455,-5.1880,7.3853,3.7842
unlabeled,0.0687,0.7645,0.5477,-6.4697,15.6250,9.9487
unlabeled,0.0787,0.7817,0.5848,-1.7090,30.7007,20.9351
unlabeled,0.1238,0.7809,0.7383,5.0049,37.2314,27.2217
unlabeled,0.1394,0.7693,0.8247,18.3105,44.1284,41.3818
unlabeled,0.1458,0.6913,0.8870,24.3530,42.5415,49.0723
unlabeled,0.1377,0.5892,0.8298,27.7100,34.6680,60.1807
unlabeled,0.1326,0.5956,0.8246,16.1133,32.4707,64.6362
unlabeled,0.1134,0.6760,0.8683,13.4888,34.2407,66.8335
unlabeled,0.1023,0.6761,0.9126,27.8931,40.7715,73.6084
unlabeled,0.1147,0.5446,1.0093,37.8418,42.9077,79.3457
unlabeled,0.1337,0.4408,1.0392,38.3911,39.3066,93.1396
unlabeled,0.1229,0.3569,1.0575,28.9307,34.0576,98.3887
unlabeled,0.0874,0.3745,1.0687,28.1982,25.6958,104.7363
unlabeled,0.0309,0.2675,1.1249,39.2456,23.7427,110.1074
unlabeled,0.0304,0.1058,1.1401,56.2134,18.4326,122.6807
unlabeled,0.0298,-0.1857,1.1135,56.3354,14.2822,123.5962
unlabeled,0.0299,-0.2704,1.0701,49.1943,7.9956,117.3706
unlabeled,0.0364,-0.2689,1.0565,40.2832,6.4697,107.3608
unlabeled,0.0233,-0.1467,0.9962,38.1470,6.8970,98.6938
unlabeled,-0.0110,-0.0579,0.9727,46.4478,11.0474,86.0596
unlabeled,-0.0933,-0.1089,0.9724,53.0395,13.8550,88.6841
unlabeled,-0.0824,-0.3456,1.0200,63.9038,21.7895,105.1025
unlabeled,0.0269,-0.9797,1.2443,65.2466,23.3154,104.3701
unlabeled,0.0444,-1.1290,1.2924,29.6631,7.2021,63.5376
unlabeled,-0.0365,-0.8339,1.1796,11.3525,-3.6011,28.6865
