label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.1195,0.2360,0.9265,-5.3101,-2.1973,-4.8828
unlabeled,0.1204,0.2380,0.9198,-3.3569,-1.9531,-3.2349
unlabeled,0.1335,0.2329,0.9200,-1.4038,-2.1362,-2.0142
unlabeled,0.1395,0.2317,0.9296,5.0659,-1.8921,1.4648
unlabeled,0.1426,0.2212,0.9688,8.9111,-2.1362,3.4790
unlabeled,0.1362,0.2085,0.9961,14.6484,-3.4180,7.5073
unlabeled,0.1151,0.1930,1.0232,15.1367,-4.6997,8.5449
unlabeled,0.1085,0.1919,1.0320,11.4136,-7.3242,7.1411
unlabeled,0.1215,0.1989,1.0563,8.4839,-6.9580,5.5542
unlabeled,0.1367,0.2041,1.0662,5.3101,-4.0283,4.8218
unlabeled,0.1603,0.2161,1.0924,6.2256,-3.2349,6.1646
unlabeled,0.1620,0.2161,1.1097,9.9487,-6.3477,11.4136
unlabeled,0.1292,0.2029,1.0557,9.7046,-10.4980,14.0991
unlabeled,0.0972,0.2013,0.9958,5.4321,-18.9209,15.9302
unlabeled,0.0419,0.2070,0.9154,1.8921,-19.7144,14.1602
unlabeled,0.0446,0.2037,0.8621,-6.8359,-15.0146,8.2397
unlabeled,0.0920,0.1931,0.7441,-8.6670,-11.5967,6.5308
unlabeled,0.1224,0.1779,0.6443,-2.3193,-6.1646,8.3618
unlabeled,0.1133,0.1583,0.6108,13.3057,-0.4272,15.1367
unlabeled,0.0630,0.1034,0.5707,20.8130,2.8076,16.8457
unlabeled,0.0345,0.0786,0.5835,23.8037,8.6060,9.7656
unlabeled,0.0433,0.0903,0.6025,19.2871,12.9395,2.8076
unlabeled,0.0875,0.1084,0.6187,23.3154,22.2778,-2.7466
unlabeled,0.0288,-0.0161,0.7209,38.7573,22.8882,-0.1221
unlabeled,0.0254,-0.0442,0.8260,61.5234,15.1367,-0.8545
unlabeled,0.1854,0.0933,0.9358,59.9365,11.3525,1.4648
unlabeled,0.1843,0.1110,0.9989,48.3398,13.1226,15.7471
unlabeled,0.0869,0.0637,1.0511,33.1421,19.1650,17.5781
unlabeled,0.0579,0.0549,1.1051,12.3901,27.5269,10.2539
unlabeled,0.0386,0.1589,1.3600,21.2402,27.8931,4.6387
unlabeled,0.0524,0.1304,1.5242,65.9790,32.0435,-2.9907
unlabeled,-0.0942,0.0968,2.0067,86.1816,32.7148,-2.6245
unlabeled,-0.0967,-0.0220,2.2366,88.5010,-5.9814,0.3052
unlabeled,0.0629,-0.0297,1.3165,43.5181,-40.0391,-10.4370
unlabeled,0.1095,-0.0286,1.2571,-4.8828,-44.6167,-16.7847
unlabeled,0.1055,0.0135,1.4481,-3.6621,-36.0718,-9.2773
unlabeled,0.1400,0.0612,1.7157,28.3203,-41.3818,4.3945
unlabeled,0.1134,-0.0024,1.8074,35.2783,-66.7114,15.9302
unlabeled,0.0898,-0.0365,1.9268,33.3862,-72.9980,21.9116
unlabeled,0.0784,-0.0664,1.9366,33.5083,-74.4019,30.3955
unlabeled,0.0642,-0.0787,1.8547,25.8789,-74.0967,27.0386
unlabeled,0.0989,-0.0424,1.7703,-10.4370,-72.2046,17.9443
unlabeled,0.1313,0.0692,1.4573,-27.7710,-72.5098,15.7471
unlabeled,0.1622,0.1232,1.2455,-27.8931,-69.7021,15.9912
unlabeled,0.1293,0.1204,0.9329,-14.4653,-69.5801,18.3105
unlabeled,0.0421,0.0443,0.8535,17.7002,-68.3594,15.3809
unlabeled,-0.0406,-0.0735,0.7863,29.1748,-64.9414,8.7280
unlabeled,-0.0116,-0.0614,0.7389,28.5034,-56.9458,-7.2632
unlabeled,0.0229,-0.0159,0.6003,23.0103,-52.7954,-11.8408
unlabeled,0.0460,-0.0520,0.3771,16.2964,-49.1333,-15.8081
unlabeled,-0.0049,-0.0856,0.2872,17.5171,-62.9272,-19.4092
unlabeled,-0.0215,-0.1194,0.1833,19.7754,-58.8379,-20.6299
unlabeled,-0.0048,-0.1024,0.2084,20.3857,-42.1753,-19.5923
unlabeled,0.0153,-0.0748,0.2979,17.6392,-32.4707,-18.3716
unlabeled,0.0117,-0.0782,0.3179,4.6387,-7.1411,-16.5405
unlabeled,0.0195,-0.0693,0.3605,-2.3193,5.7373,-16.2354
unlabeled,0.0248,-0.0614,0.4043,-8.2397,25.0244,-14.5874
unlabeled,0.0228,-0.0532,0.5192,-7.3242,28.7476,-12.8784
unlabeled,-0.0107,-0.0526,0.5488,-0.6714,14.9536,-9.0332
unlabeled,-0.0292,-0.0508,0.5101,3.3569,3.6621,-6.5918
unlabeled,-0.0682,-0.0323,0.3932,3.2959,-13.8550,0.8545
unlabeled,-0.0795,-0.0251,0.3264,-10.6812,-18.5547,10.6812
unlabeled,-0.1111,-0.0312,0.2277,-19.1650,-13.3057,14.9536
unlabeled,-0.1313,-0.0469,0.1985,-30.3345,7.6294,18.0664
unlabeled,-0.0856,-0.0405,0.1226,-31.4941,18.9819,17.5171
unlabeled,-0.0619,-0.0417,0.0870,-24.7192,29.9683,15.9912
unlabeled,-0.0146,-0.0391,0.1829,-18.2495,32.4707,14.0991
unlabeled,0.0159,-0.0363,0.3285,-0.6714,36.1938,8.6060
unlabeled,0.0416,-0.0759,0.6512,3.6011,44.9829,5.7983
unlabeled,0.0679,-0.1143,0.7328,-12.3901,71.2891,0.7935
unlabeled,0.1255,-0.0585,0.8035,-25.3296,83.7402,-2.2583
unlabeled,0.1674,0.1008,1.1788,-7.5073,94.9097,-8.9722
unlabeled,0.1569,0.0898,1.4392,26.7944,88.6841,-10.8032
unlabeled,0.1547,-0.0317,1.7321,68.9087,61.6455,-7.5073
unlabeled,0.0681,-0.1024,1.7108,46.8750,34.0576,-4.5776
unlabeled,-0.0057,-0.1783,1.5663,20.7520,43.0908,-5.9204
unlabeled,0.0183,-0.1344,1.4696,-34.6069,68.7256,-12.6343
unlabeled,0.0662,0.0117,1.4327,-44.5557,75.3784,-14.9536
unlabeled,0.0677,0.0570,1.5110,-22.4609,64.6973,-12.4512
unlabeled,0.0122,-0.0210,1.6072,-1.4648,49.6216,-8.4229
unlabeled,-0.0217,-0.0913,1.5822,14.7705,28.5645,-1.7090
unlabeled,-0.0159,-0.0865,1.4092,5.1880,26.1230,-0.8545
unlabeled,0.0016,-0.0144,1.3062,-10.6812,27.5879,-1.4648
unlabeled,0.0085,0.0714,1.2600,-6.9580,27.0996,-0.6104
unlabeled,-0.0007,0.0596,1.3511,13.4888,20.1416,5.0049
unlabeled,-0.0273,-0.0492,1.5930,21.2402,15.6250,8.9111
unlabeled,-0.0354,-0.0966,1.7145,13.6719,9.3384,13.5498
unlabeled,-0.0358,-0.1001,1.9700,-0.3052,5.4932,13.6108
unlabeled,-0.0068,-0.0271,2.0427,-32.5317,-10.2539,9.9487
unlabeled,0.0105,0.0254,1.9672,-46.5088,-39.9170,3.2349
unlabeled,0.0321,0.0874,1.7250,-41.5649,-53.6499,0.6714
unlabeled,0.0364,0.0891,1.5978,-19.0430,-66.6504,-0.2441
unlabeled,0.0380,0.0928,1.3561,-7.5073,-69.3359,0.5493
unlabeled,0.0328,0.0864,1.3179,8.2397,-73.3643,1.7700
unlabeled,0.0217,0.0494,1.3325,10.4980,-72.7539,1.2817
unlabeled,0.0386,0.0334,1.3060,10.0708,-62.8662,-0.8545
unlabeled,0.0717,0.0226,1.1984,12.8784,-58.2886,-1.5259
unlabeled,0.0889,0.0204,1.1407,28.0762,-51.8799,-0.9766
unlabeled,0.1199,0.0044,1.0569,35.3394,-52.1240,0.3052
unlabeled,0.1157,-0.0111,0.9940,39.5508,-58.3496,2.5024
unlabeled,0.0972,-0.0554,0.8285,37.7197,-64.7583,1.0376
unlabeled,0.0531,-0.0734,0.7357,33.1421,-76.2939,0.2441
unlabeled,-0.0524,-0.1340,0.6383,27.7710,-76.5381,-1.4648
unlabeled,-0.0643,-0.1371,0.6566,0.2441,-70.0684,-5.2490
unlabeled,-0.0540,-0.1132,0.6683,-14.9536,-59.6313,-4.4556
unlabeled,-0.0392,-0.0651,0.6074,-29.3579,-43.6401,-0.7324
unlabeled,-0.0500,-0.0499,0.5638,-12.5732,-45.1050,0.8545
unlabeled,-0.0723,-0.0341,0.5054,-1.4038,-48.7061,1.4038
unlabeled,-0.0844,-0.0271,0.4923,18.7988,-49.6216,1.4038
unlabeled,-0.1174,-0.0476,0.4481,23.6816,-43.4570,0.9155
unlabeled,-0.1276,-0.0585,0.4305,17.3950,-21.3623,0.7935
unlabeled,-0.1351,-0.0765,0.4121,9.7046,-9.5215,1.5259
unlabeled,-0.1290,-0.0787,0.4030,-5.3711,12.8784,3.7842
unlabeled,-0.1168,-0.0845,0.3632,-11.8408,21.1792,5.1880
unlabeled,-0.1208,-0.0822,0.3295,-19.5923,25.4517,6.9580
unlabeled,-0.1178,-0.0593,0.2992,-17.9443,20.5688,6.6528
unlabeled,-0.1106,-0.0511,0.3270,-8.4839,6.3477,4.7607
unlabeled,-0.1136,-0.0573,0.4019,-5.4932,6.5308,3.4180
unlabeled,-0.0967,-0.0563,0.4290,-10.3760,30.7007,0.6714
