label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.1097,0.1550,0.9119,10.3760,-0.4272,4.6997
unlabeled,0.1085,0.1545,0.9052,10.1929,-0.3662,6.3477
unlabeled,0.0862,0.1459,0.9442,12.5122,0.2441,6.6528
unlabeled,0.0757,0.1423,0.9712,13.2446,1.7700,2.5024
unlabeled,0.0826,0.1364,1.0139,11.7187,1.4038,-1.0376
unlabeled,0.1030,0.1407,1.0309,6.4087,2.9297,-6.7749
unlabeled,0.1593,0.1685,1.0580,3.8452,3.7231,-8.2397
unlabeled,0.1833,0.1832,1.0693,-1.3428,2.8687,-9.3994
unlabeled,0.2197,0.1953,1.0964,-3.7231,1.8311,-8.9722
unlabeled,0.2245,0.1881,1.1014,-9.2773,-0.3052,-4.8218
unlabeled,0.1840,0.1741,1.0581,-12.3901,-1.7700,-1.9531
unlabeled,0.1024,0.1852,0.9932,-18.2495,-4.8828,0.6714
unlabeled,0.0697,0.1946,0.9622,-20.0195,-6.1646,-0.1831
unlabeled,0.0372,0.2102,0.9072,-18.9819,-8.2397,-3.1128
unlabeled,0.0372,0.2242,0.8873,-14.7095,-8.1177,-5.4321
unlabeled,0.0632,0.2657,0.8594,-12.1460,-7.2632,-5.6152
unlabeled,0.0795,0.2894,0.8275,-5.0049,-5.3101,-1.7090
unlabeled,0.1038,0.3201,0.7676,1.5869,-4.1504,2.1973
unlabeled,0.1083,0.3232,0.7472,17.4561,-2.6245,11.8408
unlabeled,0.0988,0.3124,0.7516,28.0151,-0.5493,17.4561
unlabeled,0.0892,0.2932,0.7758,48.5840,3.3569,28.1982
unlabeled,0.0662,0.2502,0.8661,56.3354,4.6997,32.1045
unlabeled,0.0612,0.2396,0.9119,74.0356,3.4180,37.4146
unlabeled,-0.0751,0.0509,1.0293,85.8154,0.0610,40.3442
unlabeled,-0.3931,-0.3352,1.1768,95.2759,-5.6763,22.5830
unlabeled,-0.3190,-0.2850,1.4227,60.2417,1.2817,-7.9346
unlabeled,0.0077,0.0870,1.3481,4.8828,15.9302,-34.6069
unlabeled,0.2119,0.3752,1.2150,9.8877,12.1460,-21.9727
unlabeled,0.1134,0.3220,1.3564,52.3682,-10.8032,10.2539
unlabeled,0.0146,0.3860,1.2954,79.8950,-25.2686,20.0195
unlabeled,-0.2103,-0.3628,1.7662,222.2900,-27.1606,15.6860
unlabeled,-0.1879,-0.4608,1.8330,79.5288,-18.9819,-5.3101
unlabeled,0.0404,-0.1587,1.6891,19.4702,-17.2729,-6.5308
unlabeled,0.1045,-0.0630,1.6580,-0.0610,-24.6582,0.4272
unlabeled,0.1162,-0.0626,1.5712,2.5635,-38.2690,7.1411
unlabeled,0.0940,-0.0680,1.5265,3.5400,-50.4761,24.3530
unlabeled,0.0654,-0.0176,1.3702,3.2349,-51.2085,25.7568
unlabeled,0.0524,-0.0177,1.2990,8.1787,-48.2178,13.9770
unlabeled,0.0210,-0.1031,1.2568,12.3291,-45.0439,6.4087
unlabeled,0.0184,-0.1431,1.2645,16.0522,-42.3584,-4.0283
unlabeled,0.0605,-0.1495,1.0945,14.0991,-46.2646,-5.5542
unlabeled,0.0868,-0.1194,0.9648,6.5308,-63.9038,-7.2021
unlabeled,0.0570,-0.0940,0.8241,6.9580,-69.6411,-6.3477
unlabeled,0.0443,-0.1093,0.7075,3.6011,-60.9741,-7.4463
unlabeled,0.0630,-0.0848,0.6311,-2.7466,-59.8144,-11.7187
unlabeled,0.0775,-0.0525,0.4797,-0.9155,-57.2510,-12.2681
unlabeled,0.0814,-0.0437,0.4236,8.2397,-52.7954,-10.3760
unlabeled,0.0765,-0.0295,0.3363,12.5732,-50.3540,-9.3384
unlabeled,0.0708,-0.0227,0.2858,18.3716,-36.6211,-7.4463
unlabeled,0.0535,-0.0385,0.1981,19.1650,-25.9399,-6.2256
unlabeled,0.0397,-0.0613,0.2070,15.0146,-5.7373,-7.0190
unlabeled,0.0441,-0.0939,0.2650,10.9863,3.6621,-8.5449
unlabeled,0.0597,-0.0729,0.2664,5.3101,13.0615,-9.0332
unlabeled,0.0479,-0.0228,0.2543,7.9956,9.0332,-7.0801
unlabeled,0.0137,-0.0175,0.2437,18.1274,-14.5264,0.4272
unlabeled,0.0155,-0.0247,0.2159,19.7754,-29.0527,4.9438
unlabeled,0.0244,-0.0576,0.2177,13.5498,-35.6445,12.3901
unlabeled,0.0106,-0.0668,0.2550,0.1221,5.9204,15.0146
unlabeled,-0.0143,-0.0469,0.3165,-5.6763,32.5317,15.7471
unlabeled,-0.0197,-0.0396,0.3521,-5.8594,65.0635,17.6392
unlabeled,0.0342,-0.0620,0.4055,-4.5776,61.7065,18.6768
unlabeled,0.0496,-0.0912,0.4846,-9.1553,31.5552,18.9819
unlabeled,0.0127,-0.1506,0.7830,-18.4937,31.7993,16.7236
unlabeled,-0.0011,-0.1521,0.9572,-46.6309,79.7119,8.5449
unlabeled,0.0363,-0.1261,1.1024,-56.5796,113.4033,4.3945
unlabeled,0.1045,-0.1036,1.1124,-51.0254,140.3809,0.8545
unlabeled,0.1902,-0.1042,1.2607,-37.8418,120.7886,2.1362
unlabeled,0.1736,-0.1095,1.4149,-28.3813,46.9360,2.6855
unlabeled,0.0515,-0.0482,1.5443,-33.8135,21.6675,0.5493
unlabeled,0.0366,-0.0281,1.4707,-45.7153,42.1753,-2.8687
unlabeled,0.0797,-0.0298,1.2522,-46.2646,62.6221,-2.4414
unlabeled,0.1094,0.0544,1.1884,-26.8555,68.1152,2.0142
unlabeled,0.1001,0.0690,1.2667,25.6958,33.5083,8.0566
unlabeled,0.0493,0.0105,1.4637,42.2363,20.1416,9.1553
unlabeled,0.0341,-0.0507,1.5062,29.3579,23.4375,7.6294
unlabeled,0.0438,-0.1208,1.4202,8.0566,33.9355,6.7139
unlabeled,0.0574,-0.0913,1.3677,-24.2310,44.2505,5.6763
unlabeled,0.0660,-0.0280,1.4033,-25.9399,42.2363,4.7607
unlabeled,0.0699,0.0004,1.4421,-14.2822,29.5410,1.8921
unlabeled,0.0571,0.0276,1.4850,-4.8218,18.3716,-1.0376
unlabeled,0.0345,0.0121,1.5011,-0.0610,-0.9766,-9.3994
unlabeled,-0.0106,0.0072,1.5214,-6.2256,-4.1504,-13.6108
unlabeled,-0.0206,0.0105,1.5516,-17.5171,-3.4180,-19.7144
unlabeled,-0.0094,0.0017,1.6851,-21.3623,-3.9062,-21.1182
