label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.0447,0.1824,0.9978,3.1128,-5.9814,7.1411
unlabeled,0.0413,0.1652,0.9723,3.3569,-5.3101,8.2397
unlabeled,0.0376,0.1550,0.9595,6.6528,-4.6387,10.1318
unlabeled,0.0436,0.1467,0.9570,9.6436,-4.6387,10.8643
unlabeled,0.0486,0.1422,0.9723,19.5923,-6.4087,12.6953
unlabeled,0.0457,0.1149,1.0145,22.8271,-7.5073,13.6719
unlabeled,0.0416,0.1088,1.0236,22.0337,-8.7891,13.9770
unlabeled,0.0378,0.1205,1.0167,20.2637,-8.6670,12.9395
unlabeled,0.0396,0.1306,1.0327,19.0430,-5.3711,9.8267
unlabeled,0.0594,0.1354,1.0250,16.7847,-3.0518,8.0566
unlabeled,0.0736,0.1470,0.9869,10.9253,1.5259,5.1270
unlabeled,0.1210,0.2103,0.9415,12.3291,3.8452,4.5166
unlabeled,0.1548,0.2268,0.9412,25.3906,6.6528,9.8877
unlabeled,0.1824,0.1997,0.9451,33.3862,6.3477,16.7236
unlabeled,0.1724,0.1837,0.9396,52.3682,-5.2490,32.5928
unlabeled,0.0922,0.1237,0.9432,61.7065,-15.0757,38.2690
unlabeled,0.0114,0.0878,0.9528,66.6504,-21.7285,36.1328
unlabeled,-0.1052,0.0463,1.0311,60.6689,-16.7847,26.0010
unlabeled,-0.0616,0.0955,1.0524,37.9639,0.1831,4.5166
unlabeled,0.0242,0.1212,1.1318,31.0059,4.9438,-0.3662
unlabeled,-0.2183,-0.5210,1.1198,31.5552,12.0239,2.1973
unlabeled,-0.3531,-0.5785,1.2183,32.3486,20.6909,-2.0142
unlabeled,-0.0657,0.0198,1.2382,13.3667,14.0991,-34.2407
unlabeled,0.0002,0.0706,1.3638,9.5825,8.9111,-37.7197
unlabeled,0.0576,0.1943,1.5240,-5.9814,14.6484,-33.7524
unlabeled,0.0599,0.3978,1.3053,43.0298,12.8784,-25.1465
unlabeled,-0.0234,-0.0204,1.4124,126.7090,19.4702,-22.3389
unlabeled,-0.0483,-0.1094,1.4320,66.8945,20.0806,-28.1982
unlabeled,-0.0027,-0.0206,1.4861,30.9448,10.6812,-29.3579
unlabeled,0.0154,-0.0337,1.5620,8.3618,-8.4229,-20.6909
unlabeled,0.0403,-0.0217,1.2777,-3.3569,-13.8550,-14.7095
unlabeled,0.0807,-0.0094,1.1217,-4.5776,-15.3809,0.9155
unlabeled,0.1058,-0.0043,1.1462,-1.4648,-19.8975,8.7891
unlabeled,0.1021,-0.0077,1.1467,4.5776,-37.1704,18.2495
unlabeled,0.1045,-0.0193,1.0751,7.5073,-42.6025,19.6533
unlabeled,0.1138,-0.0338,1.0209,15.8691,-40.6494,17.2729
unlabeled,0.1230,-0.0604,0.8394,20.2026,-39.8560,14.7095
unlabeled,0.1134,-0.0593,0.7456,27.4658,-47.2412,8.6060
unlabeled,0.0625,-0.0743,0.6234,31.3721,-50.2319,6.3477
unlabeled,0.0402,-0.0929,0.5802,32.9590,-45.1660,3.5400
unlabeled,0.0292,-0.1205,0.5170,28.3203,-36.6211,2.8076
unlabeled,0.0221,-0.1445,0.5168,14.7705,-12.0850,2.8076
unlabeled,0.0127,-0.1562,0.5297,10.1318,-0.1221,3.2349
unlabeled,0.0127,-0.1361,0.5194,6.6528,10.9863,2.5024
unlabeled,0.0189,-0.1222,0.5144,4.5776,2.8076,-1.2817
unlabeled,0.0181,-0.0948,0.5322,2.6245,-2.5635,-3.5400
unlabeled,0.0143,-0.0708,0.5094,-2.3804,-15.7471,-5.3711
unlabeled,0.0298,-0.0699,0.4685,-6.6528,-22.5830,-3.9062
unlabeled,0.0308,-0.0593,0.3823,-9.6436,-26.0010,1.6479
unlabeled,0.0314,-0.0809,0.2264,-10.9253,-23.5596,4.2114
unlabeled,0.0229,-0.0922,0.1973,-27.4048,-13.7939,9.3994
unlabeled,0.0098,-0.0917,0.2490,-39.0625,-3.3569,10.0708
unlabeled,0.0315,-0.0891,0.3134,-57.8003,27.5269,5.3101
unlabeled,0.1147,-0.0311,0.5192,-58.8989,38.8794,1.0376
unlabeled,0.1251,-0.0109,0.6302,-32.0435,40.5884,-8.7891
unlabeled,0.1110,-0.0220,0.7379,-13.0615,31.8603,-13.2446
unlabeled,0.1049,-0.0303,0.7754,13.9770,14.2212,-18.1274
unlabeled,0.1183,-0.0551,0.8503,15.5640,16.2354,-16.9678
unlabeled,0.1223,-0.0693,0.9874,-4.5166,47.9736,-9.8877
unlabeled,0.1458,-0.0426,1.1290,-16.2964,67.8711,-6.8359
unlabeled,0.1423,-0.0413,1.3634,-13.3057,63.3545,-2.0142
unlabeled,0.1235,-0.0599,1.4199,-7.3242,26.1230,-0.9766
unlabeled,0.0540,-0.0341,1.4175,-10.6201,10.7422,-1.8921
unlabeled,0.0399,-0.0071,1.3260,-16.5405,10.1929,-4.7607
unlabeled,0.0466,0.0120,1.0454,-13.0615,23.8037,-2.5635
unlabeled,0.0619,-0.0094,0.9731,0.3662,47.9736,4.6997
unlabeled,0.0770,-0.0581,1.1556,3.1128,44.4336,6.8359
unlabeled,0.0690,-0.0557,1.2633,-5.5542,23.0713,5.6152
unlabeled,0.0466,-0.0194,1.2710,-11.3525,18.6768,3.1128
unlabeled,0.0410,-0.0121,1.1833,-20.8130,30.3955,-0.8545
unlabeled,0.0575,-0.0106,1.0411,-24.6582,41.2598,-1.4038
