label,aX,aY,aZ,gX,gY,gZ
unlabeled,-0.0670,-0.5350,1.1085,-29.6020,-19.5313,-53.7109
unlabeled,-0.0536,-0.4869,1.0635,-29.0527,-20.8130,-65.5518
unlabeled,-0.0353,-0.2225,1.0359,-54.9316,-23.4985,-64.2700
unlabeled,-0.0206,-0.1982,1.0278,-78.6743,-25.9399,-60.1196
unlabeled,-0.0057,-0.1042,0.9321,-78.0640,-26.7334,-70.8008
unlabeled,0.0024,-0.0409,0.8978,-73.1812,-21.1792,-79.8340
unlabeled,0.0337,0.0031,0.8888,-66.1011,-18.1885,-82.5806
unlabeled,0.0890,0.1223,0.8621,-50.5981,-18.2495,-99.9145
unlabeled,0.1118,0.2046,0.8392,-39.1235,-17.5171,-113.0981
unlabeled,0.1392,0.3727,0.8499,-39.1846,-13.7939,-112.7930
unlabeled,0.1555,0.4304,0.8873,-33.2642,-7.9956,-105.5908
unlabeled,0.1752,0.4928,0.9146,-27.7100,-8.3618,-98.5718
unlabeled,0.1776,0.4875,0.8970,-14.3433,-11.2305,-82.9468
unlabeled,0.1936,0.4659,0.8790,-12.5732,-13.0615,-78.6743
unlabeled,0.2052,0.4761,0.8882,-19.2871,-17.6392,-77.4536
unlabeled,0.2057,0.6556,0.8676,-25.0244,-19.2261,-75.6226
unlabeled,0.2097,0.8021,0.8342,-22.0947,-17.0288,-60.5469
unlabeled,0.2147,0.8182,0.8256,-20.8130,-10.4980,-36.0718
unlabeled,0.2214,0.8224,0.8019,-24.2310,-7.8735,-24.3530
unlabeled,0.2294,0.8397,0.7753,-32.8369,-2.6855,-4.8828
unlabeled,0.2389,0.9028,0.7191,-37.1094,1.2207,2.3193
unlabeled,0.2339,0.9836,0.7139,-35.4614,6.9580,13.6719
unlabeled,0.2153,1.0924,0.7086,-22.3389,7.2632,22.2168
unlabeled,0.2000,0.9625,0.6705,10.8032,6.3477,45.3491
unlabeled,0.1926,0.8792,0.6542,27.8320,8.1177,65.9180
unlabeled,0.1636,0.7177,0.6553,31.1890,10.3149,73.1201
unlabeled,0.1459,0.6683,0.6768,42.5415,16.3574,78.3081
unlabeled,0.1147,0.5800,0.7758,50.9644,19.0430,79.1016
unlabeled,0.1057,0.5073,0.8324,70.7397,20.5688,79.3457
unlabeled,0.1124,0.3490,0.8856,77.2095,19.9585,80.0781
unlabeled,0.1157,0.2939,0.9010,64.8193,19.0430,87.0972
unlabeled,0.0823,0.2721,0.9536,52.7344,18.7988,92.0410
unlabeled,0.0663,0.2422,0.9720,47.7295,17.8833,101.7456
unlabeled,0.0670,0.0594,0.9810,52.6123,16.6016,103.2715
unlabeled,0.0776,-0.0085,0.9634,55.2978,12.8174,98.2056
unlabeled,0.1090,-0.0134,0.9233,48.5229,12.2070,97.2290
unlabeled,0.1162,0.0271,0.9126,29.2358,16.0522,100.8911
unlabeled,0.1024,0.0128,0.9614,30.0903,23.9258,100.5859
unlabeled,0.1035,-0.1512,1.0918,43.7622,26.4282,98.0835
unlabeled,0.1304,-0.3246,1.1610,71.3501,27.5269,92.2241
