label,aX,aY,aZ,gX,gY,gZ
unlabeled,0.0135,0.0952,0.9982,-4.1504,7.5684,-6.7749
unlabeled,0.0135,0.1844,0.9976,-4.8828,7.9956,-5.4932
unlabeled,0.0200,0.2048,1.0061,-5.9204,9.8877,2.5024
unlabeled,0.0447,0.1449,1.0302,-6.2866,9.7046,5.9204
unlabeled,0.0536,0.1222,1.0303,-9.2773,4.5776,3.2349
unlabeled,0.0562,0.1279,1.0071,-8.3008,2.0752,-0.4272
unlabeled,0.0505,0.1672,1.0015,-6.7749,1.3428,-4.6387
unlabeled,0.0486,0.1958,1.0039,-6.5308,1.7700,-3.5400
unlabeled,0.0432,0.2256,0.9967,-5.8594,1.4648,-1.2207
unlabeled,0.0406,0.2310,0.9854,-3.8452,1.2817,6.6528
unlabeled,0.0413,0.1781,0.9729,-1.1597,1.3428,10.6812
unlabeled,0.0413,0.1294,0.9828,4.2725,0.3052,11.5356
unlabeled,0.0446,0.1210,0.9829,10.5591,0.0000,3.7231
unlabeled,0.0491,0.1058,1.0094,11.5967,1.0986,0.7935
unlabeled,0.0419,0.0585,1.0710,6.1035,3.3569,-0.8545
unlabeled,0.0048,-0.0939,1.2339,0.2441,1.7700,-2.2583
unlabeled,0.0134,-0.1715,1.2891,-1.0986,-6.6528,-9.2163
unlabeled,0.0909,-0.3574,1.3749,-1.0986,-11.5967,-13.0005
unlabeled,0.1113,-0.4368,1.4136,-17.6392,-24.8413,-23.8037
unlabeled,0.0608,-0.4526,1.3595,-30.0903,-32.5317,-33.0811
unlabeled,0.0066,-0.3595,1.2588,-56.7627,-40.2832,-42.1143
unlabeled,0.0062,-0.3998,1.2579,-77.8809,-41.9922,-32.4097
unlabeled,-0.0129,-0.4169,1.2198,-88.9282,-46.5698,-31.8603
unlabeled,-0.0361,-0.3831,1.1270,-91.5527,-57.9834,-37.9028
unlabeled,-0.0385,-0.3145,0.9294,-93.8110,-60.3638,-39.8560
unlabeled,0.0018,-0.0603,0.8979,-106.1401,-59.8144,-63.8428
